"ID","gamedate","Day","Time","League","HomeTeam","AwayTeam","bet_type","HOY.Odds","HOY.SpreadTotal","D.Odds","AUN.Odds","AUN.SpreadTotal","HOY_ImpliedOdds","AUN_ImpliedOdds","D_ImpliedOdds","HOY_ProjOdds1","AUN_ProjOdds1","D_ProjOdds1","HOY_ProjOdds2","AUN_ProjOdds2","D_ProjOdds2","HOY_ProjOdds","AUN_ProjOdds","D_ProjOdds","HOY.Odds_Diff","AUN.Odds_Diff","D.Odds_Diff","Pick","Pick_Odds","Pick_SpreadTotal","Pick_WinProb","Pick_LoseProb","Pick_Edge","Fract_Odds","Kelly_Criteria","EV","bet_type_full","Machine_Odds","KC_tier","run_timestamp"
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt Total",550,4,,-900,4,0.153846153846154,0.9,,0.122250178206074,0.736502266628795,,0.149097809534494,0.669033743307305,,0.135673993870284,0.70276800496805,,-0.0181721599758695,-0.19723199503195,,"Over",550,4,0.135673993870284,0.70276800496805,-0.0181721599758695,5.5,-0.0214761890623912,0.434389613185139,"Alternate Total - 4",637,"-0.05",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","BTTS",120,,,-160,,0.454545454545455,0.615384615384615,,0.502781027232662,0.497218972767338,,0.425547918896964,0.574452081103036,,0.464164473064813,0.535835526935187,,0.00961901851935859,-0.0795490884494285,,"Yes",120,,0.464164473064813,0.535835526935187,0.00961901851935859,1.2,0.0176348672854907,0.211618407425889,"Both Teams To Score",115,"0",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Draw No Bet",-575,,,400,,0.851851851851852,0.2,,0.517036185416163,0.233517576372834,,0.502965473430242,0.236689740865225,,0.510000829423203,0.23510365861903,,-0.341851022428649,0.0351036586190298,,"Norwich City",400,,0.23510365861903,0.510000829423203,0.0351036586190298,4,0.0438795732737872,4.30413805052916,"Draw No Bet",325,"0",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Spread",-118,-1,,-102,1,0.541284403669725,0.504950495049505,,0.273346047547644,0.482962742120129,,0.293766584378682,0.438278945328313,,0.283556315963163,0.460620843724221,,-0.257728087706562,-0.0443296513252842,,"Norwich City",-102,1,0.460620843724221,0.283556315963163,-0.0443296513252842,0.980392156862745,-0.0895458956770739,7.49848286006647,"Goal Spread",117,"-0.1",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt TT",-650,0.5,,425,0.5,0.866666666666667,0.19047619047619,,0.799343381978547,0.200655554779136,,0.740799326099348,0.259200673900652,,0.770071354038948,0.229928114339894,,-0.0965953126277188,0.0394519238637036,,"Under",425,0.5,0.229928114339894,0.770071354038948,0.0394519238637036,4.25,0.0487347294786926,2.07123131905602,"Total Goals O/U - Brighton & Hove Albion - 0.5",335,"0",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","TT",-128,1.5,,108,1.5,0.56140350877193,0.480769230769231,,0.477057352763877,0.522941583993807,,0.451429658957409,0.548570341042591,,0.464243505860643,0.535755962518199,,-0.097160002911287,0.0549867317489683,,"Under",108,1.5,0.535755962518199,0.464243505860643,0.0549867317489683,1.08,0.105900372257272,1.14372933659012,"Total Goals O/U - Brighton & Hove Albion - 1.5",-115,"0.1",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt TT",235,2.5,,-295,2.5,0.298507462686567,0.746835443037975,,0.218235002340316,0.781763934417368,,0.254874955084996,0.745125044915004,,0.236554978712656,0.763444489666186,,-0.0619524839739113,0.0166090466282114,,"Under",-295,2.5,0.763444489666186,0.236554978712656,0.0166090466282114,0.338983050847458,0.0656057341814349,14.6128167686852,"Total Goals O/U - Brighton & Hove Albion - 2.5",-323,"0.05",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt TT",600,3.5,,-1000,3.5,0.142857142857143,0.909090909090909,,0.0796644924901848,0.920334444267499,,0.137767037862394,0.862232962137606,,0.108715765176289,0.891283703202553,,-0.0341413776808537,-0.0178072058883563,,"Under",-1000,3.5,0.891283703202553,0.108715765176289,-0.0178072058883563,0.1,-0.195879264771919,19.7844135496544,"Total Goals O/U - Brighton & Hove Albion - 3.5",-820,"-0.2",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","TT",-108,0.5,,-112,0.5,0.519230769230769,0.528301886792453,,0.628992543840384,0.371007446938214,,0.610681579784163,0.389318420215837,,0.619837061812274,0.380162933577025,,0.100606292581504,-0.148138953215427,,"Over",-108,0.5,0.619837061812274,0.380162933577025,0.100606292581504,0.925925925925926,0.209261088569529,10.3041303007546,"Total Goals O/U - Norwich City - 0.5",-163,"0.2",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt TT",450,1.5,,-675,1.5,0.181818181818182,0.870967741935484,,0.261126363542785,0.738873627235813,,0.304570749307438,0.695429250692562,,0.282848556425112,0.717151438964187,,0.10103037460693,-0.153816302971296,,"Over",450,1.5,0.282848556425112,0.717151438964187,0.10103037460693,4.5,0.123481568964025,5.55667064948814,"Total Goals O/U - Norwich City - 1.5",254,"0.1",2022-04-01 00:29:54
