game_pk,game_date,fullName,id,team,team_id,home_plate_full_name,home_plate_id
663178,2022-04-07,Corbin Burnes,669203,Milwaukee Brewers,158,Ted Barrett,427019
663178,2022-04-07,Kyle Hendricks,543294,Chicago Cubs,112,Ted Barrett,427019
662766,2022-04-07,Shane Bieber,669456,Cleveland Guardians,114,Phil Cuzzi,427093
662766,2022-04-07,Zack Greinke,425844,Kansas City Royals,118,Phil Cuzzi,427093
662021,2022-04-07,JT Brubaker,664141,Pittsburgh Pirates,134,Jim Reynolds,427424
662021,2022-04-07,Adam Wainwright,425794,St. Louis Cardinals,138,Jim Reynolds,427424
662571,2022-04-07,Tylor Megill,656731,New York Mets,121,Mark Carlson,427053
662571,2022-04-07,Patrick Corbin,571578,Washington Nationals,120,Mark Carlson,427053
661577,2022-04-07,Tyler Mahle,641816,Cincinnati Reds,113,Jerry Layne,427299
661577,2022-04-07,Max Fried,608331,Atlanta Braves,144,Jerry Layne,427299
661042,2022-04-07,Framber Valdez,664285,Houston Astros,117,Ed Hickox,427224
661042,2022-04-07,Shohei Ohtani,660271,Los Angeles Angels,108,Ed Hickox,427224
663418,2022-04-07,Yu Darvish,506433,San Diego Padres,135,Larry Vanover,427520
663418,2022-04-07,Madison Bumgarner,518516,Arizona Diamondbacks,109,Larry Vanover,427520
661333,2022-04-08,Nathan Eovaldi,543135,Boston Red Sox,111,Laz Diaz,427113
661333,2022-04-08,Gerrit Cole,543037,New York Yankees,147,Laz Diaz,427113
662888,2022-04-08,Lucas Giolito,608337,Chicago White Sox,145,Marvin Hudson,427243
662888,2022-04-08,Eduardo Rodriguez,593958,Detroit Tigers,116,Marvin Hudson,427243
661131,2022-04-08,Frankie Montas,593423,Oakland Athletics,133,Dan Iassogna,427248
661131,2022-04-08,Aaron Nola,605400,Philadelphia Phillies,143,Dan Iassogna,427248
661918,2022-04-08,John Means,607644,Baltimore Orioles,110,Jeff Nelson,427362
661918,2022-04-08,Shane McClanahan,663556,Tampa Bay Rays,139,Jeff Nelson,427362
662933,2022-04-08,Walker Buehler,621111,Los Angeles Dodgers,119,Mark Wegner,427533
662933,2022-04-08,Kyle Freeland,607536,Colorado Rockies,115,Mark Wegner,427533
661750,2022-04-08,Robbie Ray,592662,Seattle Mariners,136,Ron Kulpa,427292
661750,2022-04-08,Joe Ryan,657746,Minnesota Twins,142,Ron Kulpa,427292
662124,2022-04-08,Sandy Alcantara,645261,Miami Marlins,146,Alfonso Marquez,427315
662124,2022-04-08,Logan Webb,657277,San Francisco Giants,137,Alfonso Marquez,427315
662559,2022-04-08,Max Scherzer,453286,New York Mets,121,Chris Guccione,427197
662559,2022-04-08,Josiah Gray,680686,Washington Nationals,120,Chris Guccione,427197
661782,2022-04-08,Jon Gray,592351,Texas Rangers,140,Bill Welke,427534
661782,2022-04-08,Jose Berrios,621244,Toronto Blue Jays,141,Bill Welke,427534
661576,2022-04-08,Reiver Sanmartin,665665,Cincinnati Reds,113,Hunter Wendelstedt,427537
661576,2022-04-08,Charlie Morton,450203,Atlanta Braves,144,Hunter Wendelstedt,427537
661041,2022-04-08,Jake Odorizzi,543606,Houston Astros,117,Vic Carapazza,483569
661041,2022-04-08,Reid Detmers,672282,Los Angeles Angels,108,Vic Carapazza,483569
663417,2022-04-08,Sean Manaea,640455,San Diego Padres,135,Dan Bellino,483564
663417,2022-04-08,Merrill Kelly,518876,Arizona Diamondbacks,109,Dan Bellino,483564
661917,2022-04-09,Jordan Lyles,543475,Baltimore Orioles,110,CB Bucknor,427044
661917,2022-04-09,Drew Rasmussen,656876,Tampa Bay Rays,139,CB Bucknor,427044
662864,2022-04-09,Dylan Cease,656302,Chicago White Sox,145,Adrian Johnson,482641
662864,2022-04-09,Casey Mize,663554,Detroit Tigers,116,Adrian Johnson,482641
661756,2022-04-09,Logan Gilbert,669302,Seattle Mariners,136,Marty Foster,427168
661756,2022-04-09,Sonny Gray,543243,Minnesota Twins,142,Marty Foster,427168
662020,2022-04-09,Mitch Keller,656605,Pittsburgh Pirates,134,Todd Tichenor,429805
662020,2022-04-09,Miles Mikolas,571945,St. Louis Cardinals,138,Todd Tichenor,429805
663205,2022-04-09,Brandon Woodruff,605540,Milwaukee Brewers,158,Lance Barksdale,427013
663205,2022-04-09,Justin Steele,657006,Chicago Cubs,112,Lance Barksdale,427013
661803,2022-04-09,Dane Dunning,641540,Texas Rangers,140,Andy Fletcher,427164
661803,2022-04-09,Kevin Gausman,592332,Toronto Blue Jays,141,Andy Fletcher,427164
661130,2022-04-09,Cole Irvin,608344,Oakland Athletics,133,Scott Barry,482608
661130,2022-04-09,Kyle Gibson,502043,Philadelphia Phillies,143,Scott Barry,482608
662123,2022-04-09,Pablo Lopez,641154,Miami Marlins,146,Lance Barrett,483561
662123,2022-04-09,Carlos Rodon,607074,San Francisco Giants,137,Lance Barrett,483561
661332,2022-04-09,Nick Pivetta,601713,Boston Red Sox,111,Brian O'Nora,427366
661332,2022-04-09,Luis Severino,622663,New York Yankees,147,Brian O'Nora,427366
662765,2022-04-09,Zach Plesac,668676,Cleveland Guardians,114,Cory Blaser,484183
662765,2022-04-09,Brad Keller,641745,Kansas City Royals,118,Cory Blaser,484183
662588,2022-04-09,Chris Bassitt,605135,New York Mets,121,Jordan Baker,490319
662588,2022-04-09,Joan Adon,672851,Washington Nationals,120,Jordan Baker,490319
661575,2022-04-09,Vladimir Gutierrez,661269,Cincinnati Reds,113,Chad Whitson,489985
661575,2022-04-09,Kyle Wright,657140,Atlanta Braves,144,Chad Whitson,489985
662931,2022-04-09,Tony Gonsolin,664062,Los Angeles Dodgers,119,Alan Porter,484198
662931,2022-04-09,German Marquez,608566,Colorado Rockies,115,Alan Porter,484198
663404,2022-04-09,Joe Musgrove,605397,San Diego Padres,135,Sean Barber,503493
663404,2022-04-09,Zach Davies,605200,Arizona Diamondbacks,109,Sean Barber,503493
661040,2022-04-09,Justin Verlander,434378,Houston Astros,117,Jansen Visconti,596740
