"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","copyright","totalItems","totalEvents","totalGames","totalGamesInProgress","rescheduleDate","rescheduleGameDate","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
565715,"/api/v1.1/game/565715/feed/live","R","2019","2019-04-27T23:15:00Z","2019-04-27",FALSE,1,TRUE,"N","P","N","14-565715-2019-04-27","2019","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,9,11,17,".393",108,"Los Angeles Angels","/api/v1/teams/108",9,TRUE,FALSE,9,9,18,".333",118,"Kansas City Royals","/api/v1/teams/118",7,"Kauffman Stadium","/api/v1/venues/7","/api/v1/game/565715/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567171,"/api/v1.1/game/567171/feed/live","R","2019","2019-04-27T23:20:00Z","2019-04-27",FALSE,1,TRUE,"N","P","N","14-567171-2019-04-27","2019","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,9,TRUE,FALSE,9,13,14,".481",115,"Colorado Rockies","/api/v1/teams/115",5,FALSE,FALSE,9,12,14,".462",144,"Atlanta Braves","/api/v1/teams/144",4705,"SunTrust Park","/api/v1/venues/4705","/api/v1/game/567171/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564843,"/api/v1.1/game/564843/feed/live","R","2019","2019-04-28T00:10:00Z","2019-04-27",FALSE,1,TRUE,"N","P","N","14-564843-2019-04-27","2019","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,9,TRUE,FALSE,9,13,12,".520",112,"Chicago Cubs","/api/v1/teams/112",1,FALSE,FALSE,9,16,12,".571",109,"Arizona Diamondbacks","/api/v1/teams/109",15,"Chase Field","/api/v1/venues/15","/api/v1/game/564843/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565813,"/api/v1.1/game/565813/feed/live","R","2019","2019-04-28T01:10:00Z","2019-04-27",FALSE,1,TRUE,"N","P","N","14-565813-2019-04-27","2019","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,9,12,13,".480",134,"Pittsburgh Pirates","/api/v1/teams/134",3,TRUE,FALSE,9,18,11,".621",119,"Los Angeles Dodgers","/api/v1/teams/119",22,"Dodger Stadium","/api/v1/venues/22","/api/v1/game/565813/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566386,"/api/v1.1/game/566386/feed/live","R","2019","2019-04-28T01:10:00Z","2019-04-27",FALSE,1,TRUE,"N","P","N","14-566386-2019-04-27","2019","night",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,15,TRUE,FALSE,9,13,13,".500",140,"Texas Rangers","/api/v1/teams/140",1,FALSE,FALSE,10,18,12,".600",136,"Seattle Mariners","/api/v1/teams/136",680,"T-Mobile Park","/api/v1/venues/680","/api/v1/game/566386/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567273,"/api/v1.1/game/567273/feed/live","R","2019","2019-04-27T23:10:00Z","2019-07-03",NA,1,TRUE,"N","P","N","14-567273-2019-04-27","2019","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","D","Postponed","DI",FALSE,"F","Inclement Weather",NA,NA,FALSE,9,27,54,".333",116,"Detroit Tigers","/api/v1/teams/116",NA,NA,FALSE,9,40,42,".488",145,"Chicago White Sox","/api/v1/teams/145",4,"Guaranteed Rate Field","/api/v1/venues/4","/api/v1/game/567273/content",NA,NA,NA,NA,NA,"2019-07-03T18:10:00Z","2019-07-03",NA,NA,NA,NA,NA,NA
565039,"/api/v1.1/game/565039/feed/live","R","2019","2019-04-28T17:05:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-565039-2019-04-28","2019","day",NA,9,FALSE,120,2,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,9,18,9,".667",139,"Tampa Bay Rays","/api/v1/teams/139",2,FALSE,FALSE,9,11,17,".393",111,"Boston Red Sox","/api/v1/teams/111",3,"Fenway Park","/api/v1/venues/3","/api/v1/game/565039/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567074,"/api/v1.1/game/567074/feed/live","R","2019","2019-04-28T17:05:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-567074-2019-04-28","2019","day",NA,9,FALSE,120,4,4,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,9,8,20,".286",146,"Miami Marlins","/api/v1/teams/146",5,TRUE,FALSE,9,16,12,".571",143,"Philadelphia Phillies","/api/v1/teams/143",2681,"Citizens Bank Park","/api/v1/venues/2681","/api/v1/game/567074/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566878,"/api/v1.1/game/566878/feed/live","R","2019","2019-04-28T17:07:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-566878-2019-04-28","2019","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,10,14,16,".467",133,"Oakland Athletics","/api/v1/teams/133",5,TRUE,FALSE,9,14,14,".500",141,"Toronto Blue Jays","/api/v1/teams/141",14,"Rogers Centre","/api/v1/venues/14","/api/v1/game/566878/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566000,"/api/v1.1/game/566000/feed/live","R","2019","2019-04-28T17:10:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-566000-2019-04-28","2019","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,9,15,14,".517",158,"Milwaukee Brewers","/api/v1/teams/158",5,TRUE,FALSE,9,14,13,".519",121,"New York Mets","/api/v1/teams/121",3289,"Citi Field","/api/v1/venues/3289","/api/v1/game/566000/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
