Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Edouard Julien","MIN",3,14,12,3,2,1,0,0,2,1,2,0,4,0,0,0,0,0,0,0.229496,0.116014,0.302388,0.38366,0.32511,0.353709,0.302955,0.678819,0.124212,4.68445,0.326536,,0.0037279,1.50891,-0.0746845,98.2295,0.0037279,0,-0.023864761227741838,-0.04629629850387573,0.0388603,999,,,,"sa3014445"
"Colton Welker","SFG",3,14,13,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0.249988,0.0731721,0.217554,0.33634,0.309202,0.373409,0.298664,0.68261,0.123421,2.55943,0.305586,,-0.0116841,1.46237,-0.12193,93.2262,-0.0116841,-0.03,-0.12072559632360935,0.016296295449137688,0.0378931,748.4199829101562,,,,"19961"
"Otto Lopez","TOR",3,14,13,3,2,1,0,0,2,1,1,0,2,0,0,0,0,0,0,0.257972,0.0680821,0.178809,0.380753,0.314411,0.355628,0.294964,0.670039,0.0976562,5.11279,0.307698,,0.00948961,1.42555,-0.16309,91.8344,0.00948961,-0.01,-0.11817163415253162,0.03629629500210285,0.0377776,749.77001953125,,,,"19608"
"Dalton Guthrie","PHI",13,55,51,12,8,2,0,1,6,5,3,0,13,1,0,0,1,1,0,0.230982,0.0545592,0.232248,0.234918,0.280813,0.343332,0.274647,0.624145,0.11235,4.72211,0.288739,,0.0142416,4.7929,-1.54486,73.6727,0.0142416,0.39,-1.6811227528378367,0.1772240847349167,0.0375448,999,,,,"21293"
"Joey Wiemer","MIL",28,118,107,23,15,5,0,3,12,12,9,1,34,1,1,0,2,2,1,0.217373,0.0733168,0.292663,0.250516,0.281114,0.36113,0.281214,0.642244,0.143757,4.49104,0.28504,,0.0515345,10.784,-2.66485,79.1321,0.0515345,0,-2.8000383004546165,-0.8024691343307495,0.0364961,999,,,,"sa3014531"
"Michael Siani","CIN",34,144,131,29,21,5,1,2,15,12,10,0,31,1,1,1,3,5,1,0.222213,0.0708899,0.213027,0.332774,0.283721,0.327118,0.271729,0.610839,0.104905,5.64004,0.270077,,0.320389,12.0977,-4.33986,66.0915,0.320389,0.96,-5.342880487442017,0.8459366336464882,0.0347515,741.5800170898438,,,,"22557"
"Michael Hermosillo","NYY",5,21,19,4,2,1,0,1,2,2,2,0,7,1,0,0,0,0,0,0.207459,0.0788097,0.318061,0.247782,0.290557,0.343511,0.283563,0.634068,0.136052,5.14069,0.289004,,0.0117231,1.95452,-0.434375,83.9268,0.0117231,0.04,-0.3661496713757515,0.014279833063483238,0.0327896,999,,,,"16285"
"Alec Burleson","STL",19,83,77,19,13,3,0,2,8,9,5,0,16,0,1,0,2,0,0,0.242695,0.0562471,0.190444,0.295348,0.287842,0.359925,0.284315,0.647767,0.11723,2.76324,0.281956,,-0.0635081,7.846,-1.68289,85.1813,-0.0635081,-0.11,-1.4982473626732826,-0.9896296113729477,0.0326411,603.8499755859375,,,,"27615"
"Troy Johnston","MIA",5,21,19,4,3,1,0,0,2,2,2,0,5,0,0,0,0,0,0,0.23086,0.07974,0.226861,0.351493,0.29912,0.344193,0.285287,0.643313,0.113333,2.68308,0.287493,,-0.0173859,1.95092,-0.399186,84.7097,-0.0173859,0,-0.38249707221984863,0,0.0323137,999,,,,"sa3010899"
"Bryan Lavastida","CLE",3,13,12,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0.23245,0.0713387,0.226452,0.315028,0.294393,0.33703,0.279985,0.631423,0.10458,4.15923,0.290598,,-0.00197096,1.16175,-0.302675,80.4581,-0.00197096,-0.05,-0.2836016870569438,0.1814814768731594,0.0320259,999,,,,"24765"
