Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Vladimir Guerrero Jr.","TOR",154,659,581,170,100,33,1,36,96,103,67,7,104,7,4,1,16,5,2,0.292929,0.101387,0.157559,0.643484,0.370176,0.538471,0.387428,0.908647,0.245541,3.11587,0.301528,,-0.487734,116.084,40.6796,157.086,-0.487734,-1.21,41.87344890832901,-13.876192092895508,5.14074,11.850000381469727,,,,"19611"
"Freddie Freeman","LAD",156,669,580,173,109,36,2,26,96,92,78,9,103,6,5,0,13,9,3,0.298588,0.116966,0.153958,0.759729,0.385228,0.501827,0.380303,0.887055,0.203239,4.00607,0.323401,,-0.304133,114.083,37.5173,149.011,-0.304133,0.55,37.82447198033333,-11.487036883831024,5.12652,13.920000076293945,,,,"5361"
"Trea Turner","PHI",156,666,610,174,116,33,5,21,94,78,46,1,122,5,4,1,12,29,6,0.285501,0.0684229,0.182401,0.375123,0.337887,0.457543,0.344674,0.79543,0.172042,6.62588,0.325083,,2.706,94.7197,18.4907,121.536,2.706,-0.64,19.38648533821106,6.331450343132019,5.0511,2.190000057220459,,,,"16252"
"Manny Machado","SDP",156,672,597,159,97,28,1,33,89,97,65,8,126,3,5,1,11,9,4,0.266164,0.0971932,0.186996,0.519761,0.338923,0.481867,0.350825,0.82079,0.215703,3.76483,0.284222,,-0.284687,98.7614,21.9212,130.942,-0.284687,-0.67,23.873171031475067,1.1355554461479187,4.99548,16.040000915527344,,,,"11493"
"Paul Goldschmidt","STL",156,666,581,159,96,29,2,33,93,95,74,3,141,5,4,1,12,6,2,0.27369,0.110858,0.210898,0.525649,0.357713,0.497047,0.368465,0.85476,0.223357,3.66925,0.306664,,-0.51583,107.318,31.0865,142.698,-0.51583,2.72,32.555844485759735,-9.517654657363892,4.7698,26.040000915527344,,,,"9218"
"Carlos Correa","MIN",146,634,559,147,96,26,1,23,78,82,65,3,130,5,5,1,13,0,0,0.263127,0.102038,0.204767,0.498311,0.34203,0.439536,0.340273,0.781566,0.176409,2.02551,0.301416,,-0.668066,87.9271,15.3802,125.888,-0.668066,0.47,18.41480451822281,4.9508568942546844,4.69057,125.5,,,,"14162"
"Kyle Tucker","HOU",152,663,591,158,87,35,4,32,97,93,62,5,113,3,6,0,8,19,6,0.268245,0.0941593,0.170268,0.553006,0.338524,0.502595,0.35897,0.841119,0.23435,5.66626,0.280179,,0.938969,101.756,25.9234,136.937,0.938969,2.2,28.50432449579239,-4.9368531703948975,4.68813,5.920000076293945,,,,"18345"
"Shohei Ohtani","LAA",146,628,543,148,80,28,3,37,101,93,76,11,160,5,4,0,9,22,6,0.273358,0.120315,0.255335,0.471202,0.364559,0.542286,0.383262,0.906845,0.268927,5.79496,0.318329,,1.22186,108.57,36.6958,151.664,1.22186,0,37.765519976615906,-13.143004417419434,4.68338,9.880000114440918,,,,"19755"
"Xander Bogaerts","SDP",151,651,577,154,103,31,2,19,80,77,59,2,124,6,5,1,14,5,2,0.266779,0.0906829,0.190105,0.477014,0.338526,0.425081,0.333499,0.763608,0.158302,3.68184,0.306721,,-0.384033,86.7184,12.2795,119.1,-0.384033,1.44,14.062155306339264,7.929612159729004,4.60466,91.19000244140625,,,,"12161"
"Austin Riley","ATL",156,671,597,162,94,32,2,34,92,97,57,4,159,11,5,1,11,1,0,0.271041,0.0850693,0.237693,0.357897,0.343156,0.500439,0.361855,0.843596,0.229398,2.94999,0.313473,,-0.612845,104.508,27.7702,132.283,-0.612845,-5.71,24.55821967124939,-3.3025927543640137,4.59826,21.5,,,,"18360"
"Rafael Devers","BOS",156,668,599,164,94,35,2,33,91,99,59,7,126,6,4,0,13,4,2,0.274208,0.0883307,0.18919,0.466887,0.34332,0.506202,0.3624,0.849522,0.231993,3.39985,0.295771,,-0.541734,104.36,27.9434,133.133,-0.541734,-0.68,24.375542104244232,-1.8837037682533264,4.59225,20.8799991607666,,,,"17350"
"Francisco Lindor","NYM",156,676,601,150,95,29,2,24,84,83,60,3,125,7,6,1,12,13,4,0.248856,0.0886063,0.184772,0.479544,0.321454,0.422538,0.323696,0.743991,0.173682,4.63362,0.274664,,0.307906,84.8805,7.49715,114.558,0.307906,1.64,11.754576921463013,8.86222231388092,4.5511,31.920000076293945,,,,"12916"
"Jose Altuve","HOU",149,649,576,156,100,29,3,24,89,80,62,1,102,6,3,1,13,10,3,0.271566,0.0957279,0.157036,0.609593,0.347109,0.458056,0.350256,0.805165,0.18649,4.70108,0.291566,,0.0575127,95.099,20.8802,130.788,0.0575127,-1.4,22.544752527028322,0.09959733486175537,4.54411,43.27000045776367,,,,"5417"
"Adley Rutschman","BAL",138,545,472,119,73,27,2,17,66,62,64,2,102,6,4,0,10,3,1,0.252177,0.116501,0.187134,0.622555,0.345639,0.423904,0.337599,0.769542,0.171726,3.3031,0.286402,,-0.401874,74.4535,12.0676,121.519,-0.401874,8.09,12.809836894273758,13.02573013305664,4.53376,64.91999816894531,,,,"26288"
