Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Aaron Judge","NYY",152,658,553,154,85,24,0,45,109,113,93,12,168,6,4,2,,11,3,0.279053,0.140712,0.255188,0.551405,0.385003,0.568201,0.402165,0.953203,0.289147,3.58246,0.317244,0.212143,0.12582,123.551,48.3112,167.65,0.337963,6.85079,50.42920672893524,0.30079174041748047,7.52692,3.299999952316284,,,,"15640"
"Juan Soto","SDP",149,644,501,139,83,24,2,30,106,86,133,11,94,4,4,2,,9,3,0.277831,0.207213,0.145697,1.42222,0.430413,0.511784,0.405613,0.942197,0.233953,4.05003,0.287295,-0.381263,-0.349443,122.687,49.0475,168.416,-0.730707,-1.33386,50.45971930027008,-9.333858728408813,6.59307,10.9399995803833,,,,"20123"
"Mike Trout","LAA",152,658,554,148,74,29,3,42,106,98,88,11,174,10,4,2,,4,1,0.26692,0.133766,0.26448,0.505767,0.374198,0.555635,0.392481,0.929833,0.288715,3.9801,0.309481,0.249645,-0.128116,118.489,43.2486,158.195,0.121528,-3.29407,43.21144454181194,-1.5440722703933716,6.57537,18.81999969482422,,,,"10155"
"Yordan Alvarez","HOU",136,588,506,148,79,32,2,36,93,108,71,7,122,6,4,0,,1,1,0.293253,0.12049,0.207479,0.580736,0.384197,0.577061,0.406344,0.961259,0.283808,2.86845,0.319258,0.143974,-0.696687,112.359,45.1236,170.397,-0.552713,0.625821,46.02715140581131,-8.774178206920624,5.87779,14.880000114440918,,,,"19556"
"Mookie Betts","LAD",151,651,567,154,87,34,3,30,110,87,68,1,103,8,5,3,,15,4,0.270932,0.104421,0.158305,0.659621,0.354386,0.497894,0.367492,0.85228,0.226962,5.64571,0.282159,0.967343,0.772126,104.304,29.8649,140.27,1.73947,7.48512,32.19820773601532,1.5101203918457031,5.83899,10.430000305175781,,,,"13611"
"José Ramírez","CLE",151,651,569,154,84,37,4,30,93,103,70,14,86,6,6,0,,22,6,0.270857,0.10714,0.131723,0.813375,0.353797,0.505231,0.362823,0.859028,0.234374,5.75122,0.271017,1.1199,1.4851,101.89,27.4504,138.932,2.60499,2.49888,31.125570058822632,3.223876118659973,5.78361,3.680000066757202,,,,"13510"
"Nolan Arenado","STL",156,672,606,164,97,37,1,29,81,103,55,4,85,6,5,0,,5,2,0.27118,0.081606,0.127191,0.641604,0.335793,0.480705,0.350858,0.816499,0.209526,3.08004,0.27245,0.229133,-0.598376,98.7888,21.9479,130.673,-0.369243,6.96549,23.579244911670685,8.765485644340515,5.77,34.27000045776367,,,,"9777"
"Trea Turner","PHI",156,672,613,179,118,35,4,23,99,81,47,1,119,5,4,3,,28,5,0.292249,0.0698261,0.177313,0.393802,0.345005,0.471067,0.35303,0.816073,0.178819,6.12382,0.329272,1.23414,2.80568,99.9485,23.1077,127.259,4.03982,-0.0937104,25.32225751876831,6.856289424002171,5.75255,2.5,,,,"16252"
"Alex Bregman","HOU",154,665,559,150,89,36,1,25,93,96,90,2,83,10,6,0,,2,1,0.269067,0.134718,0.124644,1.08082,0.375546,0.469736,0.368047,0.845282,0.200668,2.63428,0.274403,-0.430196,-0.731089,106.841,30.8007,143.361,-1.16129,-0.07417,31.286373376846313,1.900830015540123,5.7084,78.62000274658203,,,,"17678"
"Julio Rodríguez","SEA",149,644,580,158,97,28,3,30,95,92,51,4,157,9,3,2,,28,9,0.271792,0.0785656,0.243757,0.322311,0.337714,0.485184,0.353979,0.822898,0.213392,5.96465,0.322545,0.446145,1.5264,96.2695,22.6304,137.647,1.97254,1.58535,29.254764080047607,3.885348916053772,5.63322,4.179999828338623,,,,"23697"
