Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Jacob deGrom","TEX",12,6,,2.62737,28,28,0,0,163,638,119,51,48,16,33,,4,223,12.3058,1.82475,6.74384,0.885882,0.349037,0.0517565,0.2972807474434376,0.198519,0.935311,0.285081,0.776597,,,2.3392,5.25075,4.99838,31.959999084472656,,,,"10954"
"Corbin Burnes","MIL",13,8,,3.07336,32,32,0,0,196,795,157,73,67,19,53,,9,240,11.023,2.44343,4.51129,0.891715,0.301741,0.0668857,0.23485484719276428,0.214161,1.07295,0.290424,0.749894,,,2.90113,5.21058,5.08194,16.229999542236328,,,,"19361"
"Aaron Nola","PHI",14,10,,3.51464,32,32,0,0,202,823,177,86,79,24,41,,9,223,9.9289,1.81693,5.46464,1.06503,0.271339,0.0496535,0.22168507799506187,0.22889,1.07591,0.290986,0.71742,,,3.1862,4.58505,4.06542,33.27000045776367,,,,"16149"
"Gerrit Cole","NYY",15,8,,3.15353,32,32,0,0,199,801,159,76,70,25,49,,4,251,11.321,2.22719,5.08311,1.12716,0.312927,0.0615622,0.25136522948741913,0.213172,1.04777,0.284702,0.766063,,,3.02131,4.57072,4.26321,15.8100004196167,,,,"13125"
"Shohei Ohtani","LAA",13,8,,3.10102,29,29,0,0,171,695,136,64,59,19,50,,7,212,11.1866,2.6234,4.26418,0.999143,0.305781,0.0717092,0.23407208919525146,0.213342,1.08773,0.288121,0.766681,,,3.06758,4.29824,4.1755,8.4399995803833,,,,"19755"
"Zack Wheeler","PHI",13,9,,3.40778,31,31,0,0,190,778,171,78,72,19,45,,7,192,9.11841,2.15231,4.23657,0.919503,0.246732,0.0582387,0.18849365413188934,0.235907,1.143,0.295164,0.730952,,,3.23893,4.27972,4.14291,54.7400016784668,,,,"10310"
"Max Scherzer","NYM",13,8,,3.19356,31,31,0,0,186,753,153,71,66,24,40,,10,224,10.8338,1.92095,5.6398,1.15395,0.297777,0.0527992,0.2449777089059353,0.2173,1.03431,0.283222,0.762562,,,3.16635,4.25525,3.91687,43.150001525878906,,,,"3137"
"Carlos Rodón","NYY",13,7,,3.09791,28,28,0,0,158,641,121,59,54,17,45,,6,204,11.6239,2.53871,4.57866,0.980473,0.318931,0.069656,0.24927517771720886,0.205291,1.04793,0.281927,0.7562,,,2.90276,4.10821,3.54042,61.810001373291016,,,,"16137"
"Shane Bieber","CLE",14,9,,3.34683,32,32,0,0,204,835,183,83,76,24,46,,5,217,9.55956,2.04262,4.68004,1.06188,0.26016,0.0555892,0.20457074418663979,0.233127,1.11977,0.292435,0.749658,,,3.28106,3.9636,4.02454,54.25,,,,"19427"
"Justin Verlander","NYM",14,8,,3.09816,29,29,0,0,179,716,145,66,62,23,37,,6,196,9.87617,1.83898,5.37045,1.1638,0.274246,0.0510657,0.22318032383918762,0.215162,1.01424,0.268214,0.772366,,,3.31031,3.9607,4.05732,39.70000076293945,,,,"8700"
"Sandy Alcantara","MIA",13,11,,3.44151,32,32,0,0,216,888,194,90,83,22,55,,9,201,8.37755,2.28398,3.66796,0.927921,0.226198,0.0616687,0.1645297333598137,0.234899,1.15078,0.28509,0.73052,,,3.48042,3.90692,4.15938,29.649999618530273,,,,"18684"
"Brandon Woodruff","MIL",12,7,,3.22562,29,29,0,0,169,686,139,65,60,19,45,,6,195,10.3775,2.3951,4.33278,1.02186,0.283509,0.0654334,0.21807529777288437,0.219744,1.09296,0.285761,0.756094,,,3.19543,3.83421,4.13853,35,,,,"16162"
"Shane McClanahan","TBR",14,8,,3.05468,31,31,0,0,181,729,147,67,61,19,49,,4,210,10.4357,2.43177,4.29141,0.957583,0.287523,0.0669997,0.220523439347744,0.217907,1.0854,0.286369,0.764662,,,3.05171,3.77184,3.97652,40.45000076293945,,,,"21483"
"Luis Castillo","SEA",13,8,,3.16444,32,32,0,0,194,800,161,75,68,18,63,,8,203,9.38989,2.91752,3.21844,0.81852,0.253495,0.0787631,0.17473158240318298,0.220454,1.15122,0.281245,0.748578,,,3.30063,3.69669,3.84491,58.459999084472656,,,,"15689"
"Kevin Gausman","TOR",13,8,,3.56997,31,31,0,0,179,732,163,77,71,24,38,,4,198,9.96341,1.88623,5.28217,1.19475,0.270714,0.0512504,0.21946318075060844,0.236438,1.12154,0.297717,0.741154,,,3.3209,3.67398,3.00189,58.93000030517578,,,,"14107"
