Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP,playerid
Seby Zavala,CHW,6,26,23,4,1,0,1,3,3,2,10,0,0,0,0.184,0.246,0.345,0.591,0.257,-0.2,0,0,598.5,18887
Harold Castro,DET,42,182,171,46,7,1,2,17,17,7,39,1,1,1,0.269,0.298,0.358,0.656,0.285,-0.6,-0.3,0,600.3,14691
Jordy Mercer,,21,91,84,20,4,0,2,9,8,6,21,1,0,0,0.239,0.292,0.362,0.654,0.285,-1,-0.1,0,999,6547
Corey Ray,,3,14,13,3,1,0,0,1,1,1,5,0,0,0,0.203,0.269,0.37,0.639,0.276,-0.1,0,0,999,19170
David Dahl,MIL,5,21,19,5,1,0,1,2,2,1,5,0,0,0,0.241,0.289,0.402,0.692,0.297,-0.1,0,0,599.9,13744
Evan White,SEA,13,56,51,11,2,0,2,6,7,4,17,0,0,0,0.214,0.271,0.385,0.656,0.283,0.3,0,0,600.9,20078
Trayce Thompson,,3,14,12,2,0,0,1,2,2,1,5,0,0,0,0.193,0.272,0.373,0.646,0.281,-0.1,0,0,999,9952
Jose Lobaton,,5,19,17,3,1,0,1,2,2,2,6,0,0,0,0.193,0.269,0.331,0.6,0.265,-0.2,0,0,999,4243
Jake McCarthy,ARI,83,357,321,72,14,5,9,40,35,29,99,4,18,5,0.224,0.293,0.379,0.672,0.292,-0.8,1.3,0,601,21622
Buddy Reed,OAK,3,14,13,2,0,0,0,1,1,1,5,0,0,0,0.194,0.26,0.315,0.575,0.253,0,0,0,999,sa738683
Anderson Tejeda,STL,2,7,6,1,0,0,0,1,1,0,3,0,0,0,0.184,0.236,0.32,0.556,0.242,0,0,0,999,19909
Billy Hamilton,,6,28,26,5,1,0,0,3,2,2,8,0,2,0,0.202,0.259,0.286,0.546,0.242,0.2,0.2,0,600.2,10199
Josh Palacios,,6,28,25,6,1,0,1,3,3,2,8,0,1,0,0.223,0.297,0.343,0.64,0.282,0,0,0,999,19818
Phil Gosselin,,6,28,25,6,1,0,0,3,3,2,6,0,0,0,0.244,0.304,0.36,0.664,0.291,-0.1,0,0,597.7,10953
Jared Oliva,PIT,3,14,13,3,1,0,0,1,1,1,4,0,0,0,0.224,0.29,0.339,0.629,0.276,0,0,0,999,19968
Alcides Escobar,WSN,102,441,407,100,21,1,7,48,40,23,80,6,4,1,0.245,0.293,0.352,0.645,0.282,-4.3,0.3,0,590,6310
Gerardo Parra,,5,21,19,4,1,0,0,2,2,2,5,0,0,0,0.232,0.296,0.353,0.65,0.284,0,-0.1,0,999,8553
Grayson Greiner,,6,26,23,5,1,0,1,2,2,2,9,0,0,0,0.2,0.271,0.315,0.586,0.26,-0.1,0,0,999,17062
Dexter Fowler,,11,49,43,9,2,0,1,6,5,5,13,1,1,0,0.215,0.309,0.359,0.668,0.295,-0.5,0,0,999,4062
Mickey Moniak,PHI,34,147,133,30,6,2,5,17,17,10,40,1,2,1,0.221,0.277,0.397,0.674,0.286,-0.4,0,0,599.7,19956
Richie Martin,BAL,28,119,108,24,4,1,2,11,9,8,30,2,3,1,0.22,0.283,0.331,0.614,0.271,-0.7,-0.3,0,999,17736
Donovan Casey,,8,35,32,7,1,0,1,4,4,2,12,0,1,0,0.221,0.271,0.367,0.638,0.276,-0.1,0,-0.1,999,sa915654
Kurt Suzuki,LAA,42,166,149,35,7,0,4,16,17,9,30,5,0,0,0.232,0.297,0.366,0.663,0.29,-3.2,-0.4,-0.1,598.8,8259
Guillermo Heredia,ATL,39,168,148,33,9,0,3,19,14,15,40,4,1,0,0.226,0.31,0.354,0.664,0.292,-0.6,-0.1,-0.1,999,18721
Jarrod Dyson,,21,91,82,18,3,1,1,10,7,7,20,0,6,2,0.214,0.278,0.302,0.58,0.258,0.3,0.3,-0.1,999,4866
Ryan Vilade,,16,70,64,16,3,0,1,8,6,5,13,1,1,1,0.258,0.309,0.381,0.69,0.299,0.1,0,-0.1,600.5,22165
Matt Joyce,PHI,26,112,95,20,3,0,3,12,12,14,28,1,0,0,0.215,0.319,0.343,0.663,0.293,-1.1,-0.2,-0.1,999,3353
Albert Pujols,STL,50,217,200,49,7,0,9,23,33,12,34,3,1,0,0.243,0.291,0.416,0.708,0.301,0,-0.5,-0.1,593.3,1177
Greg Bird,,49,210,184,40,8,1,9,25,26,19,55,2,0,1,0.215,0.293,0.402,0.695,0.3,0.2,-0.4,-0.2,600.7,14131
Drew Butera,,11,45,40,7,1,0,1,4,3,3,14,1,0,0,0.168,0.243,0.268,0.511,0.23,-0.3,-0.1,-0.2,999,3411
Miguel Cabrera,DET,122,525,474,119,17,0,16,53,67,41,119,5,0,0,0.252,0.314,0.391,0.705,0.306,-0.3,-2.6,-0.2,555.3,1744
Yusniel Diaz,,28,119,108,22,4,1,3,12,12,9,36,1,1,1,0.205,0.274,0.35,0.624,0.273,-0.2,-0.3,-0.2,999,sa912848
Dee Strange-Gordon,WSN,32,140,132,34,5,1,2,14,12,5,21,1,4,2,0.257,0.287,0.347,0.634,0.276,-1.2,0.1,-0.3,600.4,8203
