Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP,playerid
Adam Eaton,,24,105,92,23,4,1,2,13,10,9,22,2,1,0,0.245,0.325,0.378,0.703,0.309,-0.3,0.1,0.1,999,11205
Nick Fortes,,11,45,40,10,2,0,1,5,5,3,8,1,0,0,0.239,0.306,0.386,0.691,0.3,-0.2,0,0.1,598.7,21538
Marwin Gonzalez,,23,98,88,21,4,0,3,10,11,7,23,2,1,0,0.233,0.3,0.369,0.669,0.293,-0.3,-0.2,0.1,600.5,5497
Danny Mendick,CHW,13,56,50,12,2,0,1,6,5,5,12,1,1,0,0.233,0.306,0.36,0.666,0.293,0.2,-0.1,0.1,999,18889
Jake Rogers,DET,8,32,28,6,1,0,1,4,4,3,11,0,0,0,0.203,0.283,0.394,0.677,0.293,0.3,0,0.1,600.8,19452
Matt Carpenter,,31,133,112,23,6,0,4,15,14,18,39,2,1,0,0.207,0.324,0.362,0.686,0.304,-0.4,-0.2,0.1,598.8,8090
Pedro Severino,MIL,63,250,224,52,10,1,7,24,29,21,62,2,1,0,0.234,0.302,0.376,0.677,0.295,-2.1,-0.6,0.1,542.8,14523
Mason Martin,PIT,31,133,120,26,6,0,6,16,19,9,45,2,1,0,0.218,0.283,0.441,0.724,0.307,0.7,-0.2,0.1,591.7,sa3004885
Tres Barrera,,11,45,40,9,2,0,1,5,5,4,10,1,0,0,0.226,0.3,0.358,0.658,0.288,-0.1,0,0.1,999,19977
William Contreras,ATL,8,32,29,7,1,0,1,4,4,3,8,0,0,0,0.251,0.321,0.438,0.758,0.326,-0.2,0,0.1,595.1,20503
Ernie Clement,CLE,26,112,103,26,5,1,1,12,9,6,16,1,2,1,0.249,0.296,0.348,0.645,0.282,0.5,-0.1,0.1,999,20352
Jose Rojas,LAA,31,133,121,28,6,0,5,16,16,10,32,1,1,1,0.231,0.292,0.409,0.701,0.301,-0.3,-0.1,0.1,600.4,19331
Eli White,TEX,39,168,150,32,6,1,4,18,15,13,49,3,3,2,0.215,0.29,0.35,0.639,0.282,0.3,-0.1,0.1,600.3,19346
Garrett Hampson,COL,60,259,235,58,11,3,6,33,23,19,63,1,10,3,0.247,0.304,0.395,0.699,0.302,-1.1,0.8,0.1,350.4,19262
Zack Short,,8,35,30,6,1,0,1,4,4,4,10,0,0,0,0.206,0.309,0.376,0.685,0.301,0.1,0,0.1,999,19562
Ryan O'Hearn,KCR,24,105,94,22,4,0,4,11,13,9,27,1,1,0,0.23,0.302,0.424,0.726,0.311,-0.1,-0.1,0.1,599.8,16442
Colton Welker,,37,161,145,37,8,1,5,19,19,12,36,1,1,1,0.254,0.312,0.423,0.735,0.315,0.3,-0.2,0.1,599.8,19961
Dalton Kelly,OAK,19,84,73,16,3,0,3,10,9,9,25,1,2,1,0.217,0.305,0.374,0.679,0.297,0.5,0.1,0.1,999,sa876363
Edwin Ríos,LAD,32,140,126,28,6,1,7,18,20,10,49,2,1,1,0.22,0.287,0.447,0.734,0.312,-0.4,-0.2,0.1,587,18316
Willians Astudillo,,5,19,18,5,1,0,1,2,2,0,1,0,0,0,0.275,0.305,0.429,0.734,0.313,0,0,0.1,600.6,15608
Jason Vosler,SFG,6,28,25,6,1,0,1,3,3,2,6,0,0,0,0.236,0.311,0.416,0.726,0.313,0,0,0.1,999,16686
Stephen Vogt,OAK,62,253,224,46,11,1,7,25,27,24,62,1,1,0,0.207,0.284,0.357,0.641,0.279,-1.1,-0.7,0.1,600.4,5000
