"Team","G","IP","K.","BB.","HR.9","BABIP","LOB.","LD.","GB.","FB.","HR.FB","EV","WHIP","ERA","FIP","xFIP","SIERA","WAR","O.Swing.","F.Strike.","SwStr.","Zone.","Barrel.","HardHit.","Date"
"NYY",8,8.2,0.111,0.083,0,0.3448,NA,0.241,0.448,0.31,NA,86.6651,1.5,0,3.334,4.8302,4.9499,0.161,0.35,0.638,0.084,0.33,0.06,0.344,2024-03-30
"LAD",14,18,0.156,0.072,0.5,0.3279,0.579,0.354,0.322,0.322,0,86.8537,1.5,6,3.8297,4.7084,4.4181,0.1522,0.333,0.5,0.093,0.446,0.064,0.338,2024-03-30
"ATL",4,4,0.466,0.066,0,0.2857,0.666,NA,0.857,0.142,NA,90.9491,0.75,2.25,0.4686,0.8288,0.8163,0.1396,0.307,0.666,0.185,0.518,NA,0.571,2024-03-30
"MIL",3,3,0,0,0,0,NA,0.285,0.285,0.428,NA,89.8411,0.3333,0,2.8853,4.3261,4.3422,0.1237,0.222,0,0.111,0,0.142,0.571,2024-03-30
"BOS",5,6,0.4,0.1,1.5,0.3,0.892,0.272,0.454,0.272,0.333,93.5093,1.1667,3,3.2186,1.7723,2.0538,0.0911,0.301,0.7,0.16,0.405,0.09,0.636,2024-03-30
"ARI",7,6.1,0.2,0.041,0,0.2941,0.666,0.176,0.705,0.117,NA,90.7064,0.9474,2.8421,1.7976,2.2526,1.7713,0.0848,0.333,0.62,0.166,0.466,0.058,0.47,2024-03-30
"NYM",3,4.1,0,0.066,0,0.1818,0.666,0,0,0,NA,85.2053,0.6923,2.0769,2.5263,4.1887,3.8961,0.0812,0.187,0.466,0.052,0.438,NA,0.272,2024-03-30
"CLE",7,7,0.166,0.083,0,0.1111,0.7,0.222,0.277,0,NA,88.6467,0.5714,1.2857,2.9329,4.7853,4.7339,0.0753,0.372,0.708,0.084,0.378,NA,0.277,2024-03-30
"TOR",4,6,0.23,0.076,0,0.3333,0.62,0.277,0.444,0.277,NA,84.916,1.3333,4.5,2.2186,3.4193,3.4088,0.0729,0.365,0.73,0.136,0.427,0.055,0.388,2024-03-30
"WSN",4,4,0,NA,0,0.1818,0.666,0.181,0.272,0.545,NA,83.1072,0.5,2.25,2.4686,4.6298,3.6252,0.0544,0.379,0.666,0.145,0.395,NA,0.181,2024-03-30
"STL",5,6.1,0,0,1.4211,0.25,0.652,0.153,0.461,0.384,0,88.6,0.9474,4.2632,3.0607,2.1455,1.8906,0.0458,0.367,0.7,0.217,0.467,0.076,0.307,2024-03-30
"CHW",3,3,0.2,0.083,0,0.1429,NA,0.428,0.571,NA,NA,90.4149,0.6667,0,3.2186,3.2186,2.6601,0.0393,0,0.666,0.195,0.347,NA,0.428,2024-03-30
"KCR",3,3,0.187,0.12,0,0.4545,0.714,0.363,0.272,0.363,NA,82.3641,2.3333,6,3.2186,5.1396,4.7728,0.0349,0.2,0.62,0.098,0.344,NA,0.272,2024-03-30
"CIN",2,3,0.454,NA,3,0.2,NA,0.333,0.166,0,0.333,90.9392,0.6667,6,4.2186,1.3261,0.9032,0.0232,0.333,NA,0.127,0.454,NA,0.666,2024-03-30
"MIN",2,2,0.12,0.12,0,0.1667,NA,0.333,0.333,0.333,NA,88.7047,1,0,3.7186,5.1594,5.5287,0.0143,0.315,0.87,0.142,0.457,NA,0.333,2024-03-30
"TEX",4,4,0.277,0.222,0,0.2222,0.833,0.222,0.444,0.333,NA,93.1059,1.5,2.25,3.7186,4.7992,5.2214,0.0078,0.244,0.666,0.098,0.395,NA,0.333,2024-03-30
"TBR",5,6.1,0.111,0.222,0,0.1667,0.666,0.111,0,0.388,NA,86.5732,1.4211,4.2632,5.1134,6.7058,7.2916,-0.0023,0.246,0.518,0.084,0.381,0.055,0.388,2024-03-30
"BAL",3,3,0.2,0.2,0,0.1667,0,NA,0.833,0.166,NA,85.1743,1.3333,3,4.2186,4.6989,5.5899,-0.0037,0.153,0.416,0.089,0.303,NA,0,2024-03-30
"OAK",5,9.2,0.17,0.1,0,0.24,0.785,0.2,0.2,0.4,NA,86.6725,1.2414,2.7931,4.2531,5.8926,5.3577,-0.018,0.306,0.52,0.107,0.379,NA,0.3,2024-03-30
"PHI",5,3,0.227,0.227,0,0.6667,0.307,0.416,0.416,0.166,NA,90.7575,4.3333,27,4.8853,5.8458,5.8165,-0.0544,0.31,0,0.104,0.325,0.083,0,2024-03-30
"SFG",6,5,0.09,0.045,1.8,0.3529,0.526,0.166,0.555,0.277,0,90.4107,1.6,9,6.2186,5.0594,4.3833,-0.0569,0.327,0.454,0.077,0.322,0.055,0.277,2024-03-30
"COL",6,8.2,0.18,0.116,1.0385,0.4138,0.602,0,0.466,0.333,0,91.2797,2.0769,8.3077,4.6033,4.7657,4.4843,-0.0638,0.294,0.581,0.07,0.441,0.033,0,2024-03-30
"SDP",19,19,0.195,0.119,1.4211,0.3448,0.597,0.183,0.433,0.383,0.13,89.0567,1.7895,7.5789,5.4292,5.1206,4.498,-0.0773,0.2,0.695,0.09,0.417,0.098,0.426,2024-03-30
"LAA",4,6.1,0.111,0.148,2.8421,0.1111,0.384,0,0.4,0,0,88.955,1.2632,8.5263,8.2713,6.4409,6.1165,-0.1255,0.229,0.37,0.066,0.383,0,0,2024-03-30
"MIA",9,14,0.274,0.112,1.2857,0.3333,0.769,0.236,0.421,0.342,0.153,85.5276,1.5,3.8571,4.1472,3.6279,3.4895,-0.1893,0.241,0.645,0.141,0.482,0.105,0.368,2024-03-30
"HOU",9,7.1,0.195,0.17,2.4545,0.3913,0.617,0.166,0.583,0.2,0.333,87.8441,2.4545,8.5909,7.855,5.4883,5.0237,-0.4687,0.275,0.585,0.081,0.325,0,0.3,2024-03-30
"CHC",6,5,0.166,0.208,3.6,0.2308,0.972,0.266,0,0.333,0,87.4255,2,3.6,9.8186,6.0594,6.3098,-0.5285,0.293,0.583,0.074,0.38,0.133,0.333,2024-03-30
