Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Julian Merryweather","CHC",3,3,,3.52882,64,0,5,12,64,270,53,27,25,7,26,,3,78,10.9181,3.68685,2.96137,1.001,0.287996,0.097251,0.19074510782957077,0.220497,1.23933,0.29464,0.751447,,,3.62324,1.00251,1.16063,999,,,,"16703"
"Casey Mize","DET",6,7,,4.64149,19,19,0,0,108,471,115,60,56,16,32,,6,88,7.27987,2.68499,2.71132,1.299,0.186284,0.0687059,0.11757787317037582,0.265694,1.35783,0.301592,0.695624,,,4.57713,0.981717,0.920134,999,,,,"20492"
"Alex Wood",,7,9,,4.63557,24,24,0,0,128,561,134,71,66,18,46,,9,103,7.23752,3.25627,2.22264,1.27,0.182868,0.082275,0.10059291869401932,0.264522,1.4114,0.300563,0.705761,,,4.77009,0.976362,1.17997,999,,,,"13781"
"Javier Assad","CHC",7,9,,4.71692,41,21,0,1,137,601,142,77,72,20,54,,6,110,7.20975,3.5365,2.03867,1.308,0.182508,0.089523,0.09298466145992279,0.262814,1.431,0.297241,0.706611,,,4.86081,0.96704,0.988664,999,,,,"21741"
"Reynaldo López","ATL",6,5,,4.09357,58,10,0,4,102,436,93,50,46,14,39,,3,112,9.84416,3.45513,2.84914,1.219,0.256106,0.0898891,0.1662174090743065,0.236598,1.29551,0.295823,0.730496,,,4.08193,0.962983,1.08135,999,,,,"16400"
"Drew Thorpe","SDP",4,4,,4.11368,13,13,0,0,74,315,71,37,34,10,25,,3,68,8.26701,3.08067,2.68351,1.216,0.215677,0.0803711,0.13530577719211578,0.246834,1.30036,0.291029,0.724943,,,4.30697,0.959884,0.899821,999,,,,"sa3020678"
"Will Warren","NYY",7,6,,4.29064,35,16,0,1,111,483,112,58,53,14,41,,5,94,7.59511,3.28584,2.31147,1.172,0.194647,0.0842091,0.11043748259544373,0.256307,1.37076,0.296806,0.717652,,,4.4958,0.956515,0.912514,999,,,,"sa3018149"
"Chris Martin","BOS",3,3,,3.72407,66,0,2,13,66,276,64,30,27,7,16,,3,65,8.85716,2.12907,4.1601,1.016,0.235699,0.056657,0.17904192581772804,0.250114,1.21212,0.307719,0.723254,,,3.57913,0.955976,1.08673,999,,,,"11847"
"Jordan Romano","TOR",3,3,,3.69495,66,0,32,2,66,278,56,29,27,8,25,,3,76,10.3527,3.44992,3.00085,1.113,0.273311,0.0910778,0.18223293125629425,0.223154,1.22785,0.287135,0.744396,,,3.83494,0.950027,0.926252,999,,,,"16122"
"Tylor Megill","NYM",8,9,,4.65937,26,26,0,0,142,618,146,79,74,22,52,,6,123,7.76452,3.2969,2.35509,1.378,0.198254,0.084181,0.11407308280467987,0.260339,1.39274,0.298384,0.710548,,,4.74698,0.94135,0.859992,999,,,,"21318"
"Josh Hader",,3,3,,3.33053,62,0,0,0,62,259,45,25,23,7,27,,3,86,12.5479,3.97367,3.15776,1.076,0.334192,0.105832,0.22836031764745712,0.198149,1.17127,0.281318,0.77099,,,3.48804,0.93901,0.985117,999,,,,"14212"
"Matt Manning","DET",7,9,,4.81855,23,23,0,0,124,543,132,71,67,19,43,,5,93,6.75707,3.08005,2.19382,1.35,0.17193,0.07837,0.09355989098548889,0.267681,1.40824,0.297251,0.697379,,,4.85674,0.930235,0.852564,999,,,,"20369"
"Joe Kelly","LAD",4,2,,3.109,62,0,1,13,62,259,49,24,21,5,26,,3,79,11.5129,3.83911,2.99884,0.783,0.30637,0.102163,0.2042066976428032,0.214239,1.21943,0.302346,0.763753,,,3.25127,0.918385,0.950515,999,,,,"9761"
"A.J. Puk","MIA",3,3,,3.52244,63,0,2,14,63,263,54,27,25,7,21,,3,72,10.2163,3.04796,3.35185,1.007,0.271526,0.0810079,0.19051819294691086,0.227512,1.20092,0.295083,0.74371,,,3.61131,0.910327,0.937965,999,,,,"19343"
"Ryan Pepiot","TBR",8,9,,4.46963,24,24,0,0,141,611,132,75,70,22,56,,8,139,8.85478,3.55894,2.48804,1.397,0.227076,0.0912669,0.13580896705389023,0.24178,1.33419,0.285586,0.719356,,,4.65543,0.909425,1.16122,999,,,,"26221"
"Caleb Ferguson","LAD",3,3,,3.51961,63,0,1,16,63,265,53,27,25,7,25,,3,73,10.4812,3.55307,2.94989,1.023,0.276935,0.0938799,0.18305546045303345,0.225093,1.24035,0.295326,0.754169,,,3.74972,0.901075,0.844748,999,,,,"19349"
"Jeff Hoffman","PHI",4,3,,3.86296,73,0,3,12,73,310,61,34,31,10,31,,3,86,10.5955,3.86641,2.7404,1.217,0.277485,0.101257,0.1762278750538826,0.222534,1.26799,0.286427,0.749559,,,4.08406,0.900521,0.975845,999,,,,"17432"
"Bailey Falter","PIT",6,8,,4.68575,49,16,0,1,119,514,126,66,62,20,34,,5,92,6.98749,2.57164,2.71714,1.48,0.179611,0.0661031,0.11350803077220917,0.264591,1.34344,0.292233,0.7079,,,4.81539,0.891746,0.863342,999,,,,"20070"
"Josh Sborz","TEX",3,3,,3.7517,64,0,4,12,64,272,55,29,27,8,26,,2,75,10.599,3.60203,2.94252,1.134,0.277459,0.094293,0.1831660345196724,0.225388,1.25905,0.29234,0.747355,,,3.8399,0.887562,0.854052,999,,,,"18323"
"DL Hall","BAL",3,3,,3.10737,62,0,2,12,62,258,48,23,21,6,26,,3,80,11.5779,3.71799,3.11401,0.919,0.309386,0.099353,0.21003350615501404,0.207557,1.18162,0.287973,0.774153,,,3.37573,0.886055,0.981588,999,,,,"22207"
"Joe Boyle","OAK",7,9,,4.36971,29,23,0,1,135,599,116,71,65,16,86,,7,146,9.73484,5.73547,1.69731,1.055,0.24304,0.143192,0.09984850883483887,0.228597,1.49763,0.289748,0.730375,,,4.67616,0.883848,1.32802,999,,,,"29608"
"Daniel Lynch IV","KCR",5,6,,4.78041,16,16,0,0,89,386,94,50,47,13,31,,4,69,7.00042,3.15199,2.22095,1.324,0.178744,0.0804809,0.09826312959194183,0.267653,1.41045,0.300737,0.699263,,,4.78311,0.877821,0.958577,999,,,,"21537"
"Alek Manoah","TOR",7,8,,4.74669,23,23,0,0,126,554,123,71,66,20,52,,9,115,8.20309,3.72161,2.20418,1.399,0.207356,0.094074,0.11328203976154327,0.250048,1.39067,0.289235,0.705581,,,4.91603,0.877206,0.827943,999,,,,"26410"
"Marco Gonzales","PIT",7,10,,4.92004,24,24,0,0,142,624,159,83,77,22,43,,6,94,5.95723,2.7614,2.15732,1.391,0.150387,0.0697099,0.08067702502012253,0.275958,1.42568,0.29781,0.695385,,,4.98132,0.864941,1.07573,999,,,,"15467"
"Brock Stewart","MIN",3,3,,3.44838,63,0,2,14,63,263,51,26,24,7,24,,3,79,11.3362,3.39336,3.34069,1.022,0.301164,0.0901502,0.2110137864947319,0.2159,1.18889,0.292519,0.753346,,,3.47823,0.863393,0.92432,999,,,,"16727"
"Kenley Jansen","BOS",3,3,,4.09815,64,0,32,2,64,272,54,31,29,9,26,,3,76,10.6895,3.69551,2.89257,1.224,0.27959,0.0966581,0.18293168395757675,0.223496,1.2588,0.288175,0.725661,,,4.00663,0.858312,0.859234,999,,,,"3096"
"Brusdar Graterol","LAD",3,3,,3.65838,64,0,8,12,64,270,63,29,26,6,19,,3,58,8.12901,2.62779,3.09348,0.911,0.213793,0.069111,0.1446823850274086,0.252327,1.2711,0.305258,0.729951,,,3.79758,0.843034,0.783897,999,,,,"20367"
"Jared Jones","PIT",6,7,,4.79365,19,19,0,0,111,488,112,63,59,16,46,,6,94,7.6119,3.69904,2.0578,1.321,0.191989,0.093298,0.0986909493803978,0.257237,1.42373,0.294101,0.700618,,,4.87664,0.842809,1.01768,999,,,,"sa3014459"
"JoJo Romero","STL",4,3,,3.29123,64,0,5,14,64,269,55,26,23,6,25,,3,69,9.73919,3.45589,2.81815,0.878,0.257764,0.0914657,0.16629809141159058,0.229123,1.24828,0.295753,0.760706,,,3.6369,0.822564,1.08903,999,,,,"19574"
"Jordan Hicks",,4,3,,3.27352,66,0,0,0,66,278,54,26,24,5,31,,3,79,10.7341,4.23128,2.53685,0.729,0.283262,0.111659,0.17160296440124512,0.22081,1.28495,0.303677,0.754577,,,3.48399,0.822282,1.11667,999,,,,"19618"
"Cal Quantrill","COL",7,13,,5.92078,28,28,0,0,160,722,194,111,105,30,54,,9,103,5.78585,3.03069,1.90909,1.678,0.142332,0.0745551,0.06777696311473846,0.295073,1.55378,0.312754,0.662381,,,5.56965,0.813228,0.956599,999,,,,"19312"
"Jason Adam","TBR",3,3,,3.54052,64,0,3,12,64,267,52,27,25,7,23,,4,76,10.6991,3.27068,3.2712,1.042,0.284476,0.0869638,0.19751203060150146,0.216531,1.17549,0.284688,0.741015,,,3.66798,0.808405,0.894193,999,,,,"11861"
