Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"CJ Abrams","WSN",141,609,557,145,95,29,5,17,78,62,31,1,108,11,4,5,,35,10,0.261033,0.0515999,0.177284,0.291058,0.31117,0.421564,0.315614,0.732735,0.160531,7.02628,0.294343,0.859,1.68892,72.8067,-1.3964,96.3299,2.54792,1.358,-0.22103261947631836,7.883000135421753,2.83236,999,,,,"25768"
"Anthony Volpe","NYY",143,616,543,124,72,27,3,21,76,75,56,0,150,7,5,5,,23,8,0.228372,0.0908,0.243029,0.373618,0.306495,0.408873,0.310583,0.715368,0.180501,5.94775,0.272292,0.485,0.182961,71.0697,-3.98633,98.3805,0.667961,1.374,-0.5273867249488831,7.973999857902527,2.82956,999,,,,"27647"
"Christian Yelich","MIL",151,651,551,144,93,29,2,20,92,66,85,6,149,5,4,6,,21,5,0.261915,0.1306,0.229622,0.568761,0.363417,0.430734,0.344818,0.794151,0.168819,5.27019,0.322385,1.44935,0.751576,93.6174,14.2969,116.067,2.20093,-1.09525,15.15851640701294,-9.270248770713806,2.79813,999,,,,"11477"
"George Springer","TOR",146,630,556,144,91,25,2,26,90,73,57,1,120,7,4,6,,15,5,0.258533,0.0905,0.191266,0.473163,0.332838,0.450071,0.337715,0.782908,0.191538,5.06472,0.285045,0.04,-0.178398,86.8809,10.119,116.52,-0.138398,1.98844,12.332365468144417,-5.761555552482605,2.78966,999,,,,"12856"
"Steven Kwan","CLE",151,651,571,160,115,31,5,9,86,55,65,2,70,5,4,6,,19,6,0.280426,0.0998,0.107461,0.928706,0.356944,0.399036,0.331986,0.75598,0.11861,5.60064,0.304881,0.507222,-0.0557437,86.6798,7.35927,113.262,0.451478,1.84107,10.795949250459671,-5.033934831619263,2.78015,999,,,,"24610"
"Jackson Holliday","BAL",126,546,467,119,82,24,3,10,62,55,66,2,126,4,4,4,,8,4,0.255069,0.1211,0.231176,0.523843,0.349935,0.382609,0.323464,0.732544,0.127539,4.48481,0.32609,-0.122,-1.08576,68.8347,2.3078,107.547,-1.20776,0,3.729416012763977,5.550000190734863,2.77516,999,,,,"sa3020241"
"Bryson Stott","PHI",146,630,570,152,103,32,2,15,73,70,48,1,109,5,4,3,,21,7,0.267409,0.0762,0.172863,0.440813,0.327482,0.413229,0.321735,0.74071,0.14582,4.98994,0.30429,0.825,-0.0008227,78.52,1.75819,100.292,0.824177,2.434,1.0519162565469742,4.684000015258789,2.71162,999,,,,"26294"
"Brandon Lowe","TBR",118,511,444,107,61,21,2,23,64,66,54,1,133,7,4,2,,5,2,0.239895,0.1064,0.260955,0.407732,0.329356,0.447712,0.335449,0.777068,0.207816,3.91266,0.287574,0.87,-0.646818,69.5085,7.24612,118.131,0.223182,-2.59145,11.324299857020378,-1.7664520740509033,2.68435,999,,,,"18882"
"Matt Chapman",,144,623,540,124,71,28,2,24,74,78,69,1,180,7,5,2,,4,2,0.230287,0.11,0.288702,0.381016,0.322806,0.421183,0.32337,0.743989,0.190896,3.42365,0.29496,0.515,-1.10421,78.4936,2.58463,103.582,-0.589211,1.361,2.130101501941681,3.5859999656677246,2.68329,999,,,,"16505"
"Patrick Bailey","SFG",97,384,345,79,52,17,1,9,38,40,30,0,100,3,3,3,,2,1,0.229682,0.0769999,0.261223,0.294767,0.294566,0.365175,0.289191,0.659741,0.135492,3.26879,0.293664,-0.172035,-0.621457,37.481,-9.30718,82.7529,-0.793492,-1.72573,-8.998227715492249,5.774269938468933,2.6782,999,,,,"27478"
"J.T. Realmuto","PHI",130,513,460,116,71,23,3,18,61,65,38,2,123,9,4,2,,14,4,0.251779,0.0741999,0.240628,0.308359,0.318455,0.435137,0.323757,0.753592,0.183358,5.7188,0.302857,0.628949,0.0792587,64.8246,2.29413,101.647,0.708208,3.70551,1.7556273341178894,13.105513095855713,2.67313,999,,,,"11739"
"Jeremy Peña","HOU",147,637,581,153,102,30,3,19,77,78,38,1,134,8,5,5,,14,6,0.264068,0.0599001,0.210909,0.28401,0.31606,0.422348,0.318765,0.738408,0.15828,4.93686,0.310865,0.547,-0.898765,77.8215,0.206717,102.844,-0.351765,-3.59,1.8185988068580627,3.234999895095825,2.66208,999,,,,"21636"
