"game_pk","officialDate","gameNumber","doubleHeader","away_team_name","home_team_name","VisitorRunsScored","HomeRunsScored","F5_VisitorRunsScored","F5_HomeRunsScored"
663411,"2022-04-12",1,"N","Houston Astros","Arizona Diamondbacks",2,1,1,0
662104,"2022-04-12",1,"N","San Diego Padres","San Francisco Giants",2,13,2,11
661570,"2022-04-13",1,"N","Washington Nationals","Atlanta Braves",3,1,2,0
663117,"2022-04-13",1,"N","Cleveland Guardians","Cincinnati Reds",7,3,6,1
662317,"2022-04-13",1,"N","Chicago Cubs","Pittsburgh Pirates",2,6,2,6
661643,"2022-04-13",1,"N","New York Mets","Philadelphia Phillies",9,6,4,1
662885,"2022-04-13",1,"N","Boston Red Sox","Detroit Tigers",9,7,7,2
661734,"2022-04-13",1,"N","Los Angeles Dodgers","Minnesota Twins",7,0,3,0
663341,"2022-04-13",1,"N","Houston Astros","Arizona Diamondbacks",2,3,0,1
662115,"2022-04-13",1,"N","San Diego Padres","San Francisco Giants",1,2,1,2
661943,"2022-04-13",1,"N","Oakland Athletics","Tampa Bay Rays",4,2,3,1
661313,"2022-04-13",1,"N","Toronto Blue Jays","New York Yankees",6,4,3,3
663433,"2022-04-13",1,"N","Milwaukee Brewers","Baltimore Orioles",4,2,2,0
661530,"2022-04-13",1,"N","Seattle Mariners","Chicago White Sox",4,6,3,4
661942,"2022-04-14",1,"N","Oakland Athletics","Tampa Bay Rays",6,3,6,1
661529,"2022-04-14",1,"N","Seattle Mariners","Chicago White Sox",5,1,2,1
661292,"2022-04-14",1,"N","St. Louis Cardinals","Milwaukee Brewers",1,5,0,4
662307,"2022-04-14",1,"N","Washington Nationals","Pittsburgh Pirates",4,9,4,6
661418,"2022-04-14",1,"N","Philadelphia Phillies","Miami Marlins",3,4,1,4
661312,"2022-04-14",1,"N","Toronto Blue Jays","New York Yankees",0,3,0,2
661993,"2022-04-14",1,"N","Los Angeles Angels","Texas Rangers",5,10,2,10
662702,"2022-04-14",1,"N","Detroit Tigers","Kansas City Royals",4,2,2,2
662237,"2022-04-14",1,"N","Atlanta Braves","San Diego Padres",1,12,0,5
662950,"2022-04-14",1,"N","Chicago Cubs","Colorado Rockies",5,2,3,2
662627,"2022-04-14",1,"N","Cincinnati Reds","Los Angeles Dodgers",3,9,0,3
662485,"2022-04-15",1,"N","Arizona Diamondbacks","New York Mets",3,10,0,5
663265,"2022-04-15",1,"N","Minnesota Twins","Boston Red Sox",8,4,6,1
662291,"2022-04-15",1,"N","Washington Nationals","Pittsburgh Pirates",7,2,5,2
661417,"2022-04-15",1,"N","Philadelphia Phillies","Miami Marlins",1,7,0,6
663357,"2022-04-15",1,"N","New York Yankees","Baltimore Orioles",1,2,1,0
661792,"2022-04-15",1,"N","Oakland Athletics","Toronto Blue Jays",1,4,0,2
663136,"2022-04-15",1,"N","San Francisco Giants","Cleveland Guardians",4,1,1,0
661528,"2022-04-15",1,"N","Tampa Bay Rays","Chicago White Sox",2,3,0,3
662014,"2022-04-15",1,"N","Los Angeles Angels","Texas Rangers",9,6,7,6
662701,"2022-04-15",1,"N","Detroit Tigers","Kansas City Royals",2,1,0,1
661267,"2022-04-15",1,"N","St. Louis Cardinals","Milwaukee Brewers",10,1,8,0
662960,"2022-04-15",1,"N","Chicago Cubs","Colorado Rockies",5,6,4,6
662236,"2022-04-15",1,"N","Atlanta Braves","San Diego Padres",5,2,2,2
662192,"2022-04-15",1,"N","Houston Astros","Seattle Mariners",1,11,0,4
662620,"2022-04-15",1,"N","Cincinnati Reds","Los Angeles Dodgers",1,3,0,3
662626,"2022-04-16",1,"N","Arizona Diamondbacks","New York Mets",3,2,0,0
661527,"2022-04-16",1,"N","Tampa Bay Rays","Chicago White Sox",2,3,1,2
661759,"2022-04-16",1,"N","Oakland Athletics","Toronto Blue Jays",7,5,5,2
662235,"2022-04-16",1,"N","Atlanta Braves","San Diego Padres",5,2,4,1
662798,"2022-04-16",1,"N","Detroit Tigers","Kansas City Royals",1,3,1,1
663238,"2022-04-16",1,"N","Minnesota Twins","Boston Red Sox",0,4,0,4
663076,"2022-04-16",1,"N","San Francisco Giants","Cleveland Guardians",4,2,2,2
661416,"2022-04-16",1,"N","Philadelphia Phillies","Miami Marlins",10,3,8,2
662290,"2022-04-16",1,"N","Washington Nationals","Pittsburgh Pirates",4,6,2,3
661981,"2022-04-16",1,"N","Los Angeles Angels","Texas Rangers",7,2,3,2
663266,"2022-04-16",1,"N","New York Yankees","Baltimore Orioles",5,2,4,2
661335,"2022-04-16",1,"N","St. Louis Cardinals","Milwaukee Brewers",2,1,1,0
