"game_pk","officialDate","gameNumber","doubleHeader","away_team_name","home_team_name","VisitorRunsScored","HomeRunsScored","F5_VisitorRunsScored","F5_HomeRunsScored"
663008,"2022-04-30",1,"N","Cincinnati Reds","Colorado Rockies",3,4,2,0
662698,"2022-04-30",1,"N","Detroit Tigers","Los Angeles Dodgers",5,1,1,1
663363,"2022-05-01",1,"N","Boston Red Sox","Baltimore Orioles",5,9,1,3
661905,"2022-05-01",1,"N","Minnesota Twins","Tampa Bay Rays",9,3,6,0
662293,"2022-05-01",1,"N","San Diego Padres","Pittsburgh Pirates",5,2,1,0
661824,"2022-05-01",1,"N","Houston Astros","Toronto Blue Jays",2,3,0,0
661365,"2022-05-01",1,"N","Seattle Mariners","Miami Marlins",7,3,2,0
661531,"2022-05-01",1,"N","Los Angeles Angels","Chicago White Sox",6,5,4,0
662691,"2022-05-01",1,"N","New York Yankees","Kansas City Royals",6,4,3,4
661216,"2022-05-01",1,"N","Chicago Cubs","Milwaukee Brewers",2,0,1,0
661988,"2022-05-01",1,"N","Arizona Diamondbacks","St. Louis Cardinals",5,7,3,2
661935,"2022-05-01",1,"N","Atlanta Braves","Texas Rangers",3,7,2,7
663007,"2022-05-01",1,"N","Cincinnati Reds","Colorado Rockies",1,10,1,9
662106,"2022-05-01",1,"N","Washington Nationals","San Francisco Giants",11,5,5,0
662397,"2022-05-01",1,"N","Cleveland Guardians","Oakland Athletics",7,3,6,0
662716,"2022-05-01",1,"N","Detroit Tigers","Los Angeles Dodgers",3,6,0,4
662579,"2022-05-01",1,"N","Philadelphia Phillies","New York Mets",6,10,3,6
662009,"2022-05-02",1,"N","Kansas City Royals","St. Louis Cardinals",0,1,0,1
661526,"2022-05-02",1,"N","Los Angeles Angels","Chicago White Sox",0,3,0,2
661362,"2022-05-02",1,"N","Arizona Diamondbacks","Miami Marlins",5,4,4,0
663362,"2022-05-02",1,"N","Minnesota Twins","Baltimore Orioles",2,1,1,1
661823,"2022-05-02",1,"N","New York Yankees","Toronto Blue Jays",3,2,2,2
662578,"2022-05-02",1,"N","Atlanta Braves","New York Mets",5,2,1,2
662920,"2022-05-02",1,"N","Seattle Mariners","Houston Astros",0,3,0,1
662387,"2022-05-02",1,"N","Tampa Bay Rays","Oakland Athletics",6,1,6,1
662569,"2022-05-03",1,"Y","Atlanta Braves","New York Mets",4,5,4,5
662459,"2022-05-03",2,"Y","Atlanta Braves","New York Mets",0,3,0,2
661364,"2022-05-03",1,"N","Arizona Diamondbacks","Miami Marlins",5,4,5,0
661635,"2022-05-03",1,"N","Texas Rangers","Philadelphia Phillies",6,4,3,3
663463,"2022-05-03",1,"N","Minnesota Twins","Baltimore Orioles",7,2,2,2
661796,"2022-05-03",1,"N","New York Yankees","Toronto Blue Jays",9,1,0,1
663237,"2022-05-03",1,"N","Los Angeles Angels","Boston Red Sox",0,4,0,2
663165,"2022-05-03",1,"N","Chicago White Sox","Chicago Cubs",3,1,3,0
661200,"2022-05-03",1,"N","Cincinnati Reds","Milwaukee Brewers",3,6,2,5
662919,"2022-05-03",1,"N","Seattle Mariners","Houston Astros",0,4,0,1
662690,"2022-05-03",1,"N","St. Louis Cardinals","Kansas City Royals",1,7,0,2
662994,"2022-05-03",1,"N","Washington Nationals","Colorado Rockies",10,2,7,1
662386,"2022-05-03",1,"N","Tampa Bay Rays","Oakland Athletics",10,7,3,5
662708,"2022-05-03",1,"N","San Francisco Giants","Los Angeles Dodgers",1,3,0,2
661363,"2022-05-04",1,"N","Arizona Diamondbacks","Miami Marlins",8,7,5,3
662838,"2022-05-04",1,"Y","Pittsburgh Pirates","Detroit Tigers",2,3,2,3
662839,"2022-05-04",2,"Y","Pittsburgh Pirates","Detroit Tigers",7,2,2,2
663067,"2022-05-04",1,"Y","San Diego Padres","Cleveland Guardians",5,4,3,3
663068,"2022-05-04",2,"Y","San Diego Padres","Cleveland Guardians",5,6,3,1
662739,"2022-05-04",1,"N","St. Louis Cardinals","Kansas City Royals",10,0,5,0
662577,"2022-05-04",1,"N","Atlanta Braves","New York Mets",9,2,0,0
662835,"2022-05-04",1,"N","Seattle Mariners","Houston Astros",2,7,0,5
662382,"2022-05-04",1,"N","Tampa Bay Rays","Oakland Athletics",3,0,0,0
661634,"2022-05-04",1,"N","Texas Rangers","Philadelphia Phillies",2,1,0,0
663462,"2022-05-04",1,"N","Minnesota Twins","Baltimore Orioles",4,9,4,9
661795,"2022-05-04",1,"N","New York Yankees","Toronto Blue Jays",1,2,1,2
663248,"2022-05-04",1,"N","Los Angeles Angels","Boston Red Sox",10,5,2,3
663164,"2022-05-04",1,"N","Chicago White Sox","Chicago Cubs",4,3,3,3
661197,"2022-05-04",1,"N","Cincinnati Reds","Milwaukee Brewers",4,18,3,7
662993,"2022-05-04",1,"N","Washington Nationals","Colorado Rockies",2,5,2,5
662707,"2022-05-04",1,"N","San Francisco Giants","Los Angeles Dodgers",1,9,1,2
663227,"2022-05-05",1,"N","Los Angeles Angels","Boston Red Sox",8,0,0,0
661204,"2022-05-05",1,"N","Cincinnati Reds","Milwaukee Brewers",5,10,5,8
663013,"2022-05-05",1,"N","Washington Nationals","Colorado Rockies",7,9,3,8
663066,"2022-05-05",1,"N","Toronto Blue Jays","Cleveland Guardians",5,6,2,6
661619,"2022-05-05",1,"N","New York Mets","Philadelphia Phillies",8,7,0,7
661341,"2022-05-05",1,"N","Minnesota Twins","Baltimore Orioles",3,5,3,3
662816,"2022-05-05",1,"N","Detroit Tigers","Houston Astros",2,3,0,2
662189,"2022-05-05",1,"N","Tampa Bay Rays","Seattle Mariners",4,3,4,1
662262,"2022-05-05",1,"N","Miami Marlins","San Diego Padres",1,2,1,2
662105,"2022-05-05",1,"N","St. Louis Cardinals","San Francisco Giants",7,1,3,1
663224,"2022-05-06",1,"N","Chicago White Sox","Boston Red Sox",4,2,3,1
661541,"2022-05-06",1,"N","Milwaukee Brewers","Atlanta Braves",6,3,2,2
662815,"2022-05-06",1,"N","Detroit Tigers","Houston Astros",2,3,2,3
661775,"2022-05-06",1,"N","Oakland Athletics","Minnesota Twins",1,2,0,2
663431,"2022-05-06",1,"N","Washington Nationals","Los Angeles Angels",0,3,0,3
663360,"2022-05-06",1,"N","Colorado Rockies","Arizona Diamondbacks",1,4,1,1
662187,"2022-05-06",1,"N","Tampa Bay Rays","Seattle Mariners",8,7,4,4
662272,"2022-05-06",1,"N","Miami Marlins","San Diego Padres",2,3,0,3
662103,"2022-05-06",1,"N","St. Louis Cardinals","San Francisco Giants",3,2,2,2
663089,"2022-05-07",1,"S","Pittsburgh Pirates","Cincinnati Reds",2,9,1,2
663070,"2022-05-07",2,"S","Pittsburgh Pirates","Cincinnati Reds",8,5,7,5
663162,"2022-05-07",1,"S","Los Angeles Dodgers","Chicago Cubs",7,0,4,0
663142,"2022-05-07",2,"S","Los Angeles Dodgers","Chicago Cubs",6,2,4,2
663056,"2022-05-07",1,"Y","Toronto Blue Jays","Cleveland Guardians",8,3,7,1
663057,"2022-05-07",2,"Y","Toronto Blue Jays","Cleveland Guardians",2,8,2,5
661701,"2022-05-07",1,"N","Oakland Athletics","Minnesota Twins",0,1,0,0
662796,"2022-05-07",1,"N","Detroit Tigers","Houston Astros",2,3,2,1
663226,"2022-05-07",1,"N","Chicago White Sox","Boston Red Sox",3,1,0,1
662102,"2022-05-07",1,"N","St. Louis Cardinals","San Francisco Giants",7,13,4,9
661540,"2022-05-07",1,"N","Milwaukee Brewers","Atlanta Braves",2,3,0,1
663359,"2022-05-07",1,"N","Colorado Rockies","Arizona Diamondbacks",4,1,0,0
662261,"2022-05-07",1,"N","Miami Marlins","San Diego Padres",8,0,3,0
663430,"2022-05-07",1,"N","Washington Nationals","Los Angeles Angels",7,3,6,3
662159,"2022-05-07",1,"N","Tampa Bay Rays","Seattle Mariners",8,2,2,1
663278,"2022-05-08",1,"N","Chicago White Sox","Boston Red Sox",3,2,3,0
661626,"2022-05-08",1,"Y","New York Mets","Philadelphia Phillies",2,3,0,3
661627,"2022-05-08",2,"Y","New York Mets","Philadelphia Phillies",6,1,5,1
661307,"2022-05-08",1,"Y","Kansas City Royals","Baltimore Orioles",6,4,3,2
661345,"2022-05-08",2,"Y","Kansas City Royals","Baltimore Orioles",2,4,1,4
661302,"2022-05-08",1,"Y","Texas Rangers","New York Yankees",1,2,0,0
661304,"2022-05-08",2,"Y","Texas Rangers","New York Yankees",4,2,0,2
661550,"2022-05-08",1,"N","Milwaukee Brewers","Atlanta Braves",2,9,0,9
663069,"2022-05-08",1,"N","Pittsburgh Pirates","Cincinnati Reds",3,7,2,0
663086,"2022-05-08",1,"N","Toronto Blue Jays","Cleveland Guardians",3,4,2,2
662795,"2022-05-08",1,"N","Detroit Tigers","Houston Astros",0,5,0,5
661700,"2022-05-08",1,"N","Oakland Athletics","Minnesota Twins",3,4,3,4
662098,"2022-05-08",1,"N","St. Louis Cardinals","San Francisco Giants",3,4,2,3
663429,"2022-05-08",1,"N","Washington Nationals","Los Angeles Angels",4,5,1,0
663368,"2022-05-08",1,"N","Colorado Rockies","Arizona Diamondbacks",0,4,0,4
662160,"2022-05-08",1,"N","Tampa Bay Rays","Seattle Mariners",1,2,0,0
662260,"2022-05-08",1,"N","Miami Marlins","San Diego Padres",2,3,1,0
663161,"2022-05-08",1,"N","Los Angeles Dodgers","Chicago Cubs",7,1,4,1
661349,"2022-05-09",1,"N","Kansas City Royals","Baltimore Orioles",1,6,1,6
661303,"2022-05-09",1,"N","Texas Rangers","New York Yankees",0,1,0,0
662287,"2022-05-09",1,"N","Los Angeles Dodgers","Pittsburgh Pirates",1,5,0,1
663101,"2022-05-09",1,"N","Milwaukee Brewers","Cincinnati Reds",5,10,3,6
662837,"2022-05-09",1,"N","Oakland Athletics","Detroit Tigers",2,0,2,0
661525,"2022-05-09",1,"N","Cleveland Guardians","Chicago White Sox",12,9,1,4
663438,"2022-05-09",1,"N","Tampa Bay Rays","Los Angeles Angels",3,11,1,3
662259,"2022-05-09",1,"N","Chicago Cubs","San Diego Padres",6,0,3,0
662158,"2022-05-09",1,"N","Philadelphia Phillies","Seattle Mariners",9,0,6,0
663366,"2022-05-09",1,"N","Miami Marlins","Arizona Diamondbacks",3,4,3,3
662097,"2022-05-09",1,"N","Colorado Rockies","San Francisco Giants",5,8,2,3
662412,"2022-05-10",1,"Y","Detroit Tigers","Oakland Athletics",6,0,2,0
662855,"2022-05-10",2,"Y","Oakland Athletics","Detroit Tigers",4,1,2,0
662292,"2022-05-10",1,"N","Los Angeles Dodgers","Pittsburgh Pirates",11,1,7,0
663090,"2022-05-10",1,"N","Milwaukee Brewers","Cincinnati Reds",5,4,1,1
662537,"2022-05-10",1,"N","New York Mets","Washington Nationals",4,2,0,2
661301,"2022-05-10",1,"N","Toronto Blue Jays","New York Yankees",5,6,3,0
661549,"2022-05-10",1,"N","Boston Red Sox","Atlanta Braves",9,4,6,3
661696,"2022-05-10",1,"N","Houston Astros","Minnesota Twins",5,0,4,0
661987,"2022-05-10",1,"N","Baltimore Orioles","St. Louis Cardinals",5,3,4,0
662016,"2022-05-10",1,"N","Kansas City Royals","Texas Rangers",4,6,1,5
661524,"2022-05-10",1,"N","Cleveland Guardians","Chicago White Sox",1,4,0,1
663416,"2022-05-10",1,"N","Tampa Bay Rays","Los Angeles Angels",0,12,0,8
662258,"2022-05-10",1,"N","Chicago Cubs","San Diego Padres",4,5,3,3
662157,"2022-05-10",1,"N","Philadelphia Phillies","Seattle Mariners",4,5,2,3
663350,"2022-05-10",1,"N","Miami Marlins","Arizona Diamondbacks",3,9,2,6
662096,"2022-05-10",1,"N","Colorado Rockies","San Francisco Giants",2,9,1,8
662385,"2022-05-11",1,"N","Los Angeles Dodgers","Pittsburgh Pirates",3,5,0,0
661300,"2022-05-11",1,"N","Toronto Blue Jays","New York Yankees",3,5,1,3
663074,"2022-05-11",1,"N","Milwaukee Brewers","Cincinnati Reds",11,14,4,8
662176,"2022-05-11",1,"N","Philadelphia Phillies","Seattle Mariners",4,2,4,1
663358,"2022-05-11",1,"N","Miami Marlins","Arizona Diamondbacks",11,3,3,1
662095,"2022-05-11",1,"N","Colorado Rockies","San Francisco Giants",1,7,0,5
662273,"2022-05-11",1,"N","Chicago Cubs","San Diego Padres",7,5,5,2
662526,"2022-05-11",1,"N","New York Mets","Washington Nationals",3,8,3,8
663450,"2022-05-11",1,"N","Tampa Bay Rays","Los Angeles Angels",4,2,1,0
662873,"2022-05-11",1,"N","Oakland Athletics","Detroit Tigers",9,0,7,0
661548,"2022-05-11",1,"N","Boston Red Sox","Atlanta Braves",3,5,3,3
661702,"2022-05-11",1,"N","Houston Astros","Minnesota Twins",11,3,5,2
662006,"2022-05-11",1,"N","Baltimore Orioles","St. Louis Cardinals",1,10,1,7
661899,"2022-05-11",1,"N","Kansas City Royals","Texas Rangers",8,2,3,0
662548,"2022-05-12",1,"N","New York Mets","Washington Nationals",4,1,3,0
662872,"2022-05-12",1,"N","Oakland Athletics","Detroit Tigers",5,3,3,2
662005,"2022-05-12",1,"N","Baltimore Orioles","St. Louis Cardinals",3,2,1,0
661694,"2022-05-12",1,"N","Houston Astros","Minnesota Twins",5,0,4,0
662372,"2022-05-12",1,"N","Cincinnati Reds","Pittsburgh Pirates",4,0,2,0
661883,"2022-05-12",1,"N","Kansas City Royals","Texas Rangers",1,3,0,1
661519,"2022-05-12",1,"N","New York Yankees","Chicago White Sox",15,7,6,4
662706,"2022-05-12",1,"N","Philadelphia Phillies","Los Angeles Dodgers",9,7,6,1
662494,"2022-05-13",1,"N","Cincinnati Reds","Pittsburgh Pirates",8,2,5,2
661361,"2022-05-13",1,"N","Milwaukee Brewers","Miami Marlins",2,1,1,1
662525,"2022-05-13",1,"N","Houston Astros","Washington Nationals",6,1,6,0
662851,"2022-05-13",1,"N","Baltimore Orioles","Detroit Tigers",2,4,0,1
662523,"2022-05-13",1,"N","Seattle Mariners","New York Mets",2,1,1,1
661904,"2022-05-13",1,"N","Toronto Blue Jays","Tampa Bay Rays",2,5,0,2
661547,"2022-05-13",1,"N","San Diego Padres","Atlanta Braves",11,6,3,2
661882,"2022-05-13",1,"N","Boston Red Sox","Texas Rangers",7,1,1,0
661698,"2022-05-13",1,"N","Cleveland Guardians","Minnesota Twins",8,12,2,11
661491,"2022-05-13",1,"N","New York Yankees","Chicago White Sox",10,4,7,1
661986,"2022-05-13",1,"N","San Francisco Giants","St. Louis Cardinals",8,2,3,1
663012,"2022-05-13",1,"N","Kansas City Royals","Colorado Rockies",14,10,8,7
663349,"2022-05-13",1,"N","Chicago Cubs","Arizona Diamondbacks",3,4,3,4
662381,"2022-05-13",1,"N","Los Angeles Angels","Oakland Athletics",2,0,2,0
662705,"2022-05-13",1,"N","Philadelphia Phillies","Los Angeles Dodgers",12,10,5,6
661985,"2022-05-14",1,"N","San Francisco Giants","St. Louis Cardinals",0,4,0,2
661546,"2022-05-14",1,"N","San Diego Padres","Atlanta Braves",5,6,1,2
662379,"2022-05-14",1,"S","Los Angeles Angels","Oakland Athletics",3,4,1,0
662399,"2022-05-14",2,"S","Los Angeles Angels","Oakland Athletics",9,1,8,1
662844,"2022-05-14",1,"N","Baltimore Orioles","Detroit Tigers",0,3,0,2
661903,"2022-05-14",1,"N","Toronto Blue Jays","Tampa Bay Rays",5,1,1,1
661414,"2022-05-14",1,"N","Milwaukee Brewers","Miami Marlins",3,9,1,4
662384,"2022-05-14",1,"N","Cincinnati Reds","Pittsburgh Pirates",1,3,0,3
662547,"2022-05-14",1,"N","Houston Astros","Washington Nationals",6,13,3,9
661147,"2022-05-14",1,"N","Boston Red Sox","Texas Rangers",11,3,9,1
662568,"2022-05-14",1,"N","Seattle Mariners","New York Mets",4,5,0,4
661695,"2022-05-14",1,"N","Cleveland Guardians","Minnesota Twins",3,2,1,1
661490,"2022-05-14",1,"N","New York Yankees","Chicago White Sox",2,3,0,2
663348,"2022-05-14",1,"N","Chicago Cubs","Arizona Diamondbacks",4,2,1,1
663011,"2022-05-14",1,"N","Kansas City Royals","Colorado Rockies",4,10,3,9
662704,"2022-05-14",1,"N","Philadelphia Phillies","Los Angeles Dodgers",8,3,8,3
661545,"2022-05-15",1,"N","San Diego Padres","Atlanta Braves",7,3,1,3
662528,"2022-05-15",1,"N","Houston Astros","Washington Nationals",8,0,2,0
662519,"2022-05-15",1,"N","Cincinnati Reds","Pittsburgh Pirates",0,1,0,0
662843,"2022-05-15",1,"N","Baltimore Orioles","Detroit Tigers",1,5,0,3
662567,"2022-05-15",1,"N","Seattle Mariners","New York Mets",8,7,4,5
661902,"2022-05-15",1,"N","Toronto Blue Jays","Tampa Bay Rays",0,3,0,0
661403,"2022-05-15",1,"N","Milwaukee Brewers","Miami Marlins",7,3,5,3
661732,"2022-05-15",1,"N","Cleveland Guardians","Minnesota Twins",1,3,1,3
661489,"2022-05-15",1,"N","New York Yankees","Chicago White Sox",5,1,3,0
661146,"2022-05-15",1,"N","Boston Red Sox","Texas Rangers",1,7,1,1
663010,"2022-05-15",1,"N","Kansas City Royals","Colorado Rockies",8,7,2,0
662380,"2022-05-15",1,"N","Los Angeles Angels","Oakland Athletics",4,1,2,1
663367,"2022-05-15",1,"N","Chicago Cubs","Arizona Diamondbacks",3,2,2,2
662696,"2022-05-15",1,"N","Philadelphia Phillies","Los Angeles Dodgers",4,5,4,2
661984,"2022-05-15",1,"N","San Francisco Giants","St. Louis Cardinals",6,15,0,11
661961,"2022-05-16",1,"N","Detroit Tigers","Tampa Bay Rays",3,2,2,0
661402,"2022-05-16",1,"N","Washington Nationals","Miami Marlins",2,8,1,4
661308,"2022-05-16",1,"N","New York Yankees","Baltimore Orioles",6,2,4,1
661794,"2022-05-16",1,"N","Seattle Mariners","Toronto Blue Jays",2,6,0,2
663275,"2022-05-16",1,"N","Houston Astros","Boston Red Sox",3,6,1,2
663151,"2022-05-16",1,"N","Pittsburgh Pirates","Chicago Cubs",0,9,0,9
661212,"2022-05-16",1,"N","Atlanta Braves","Milwaukee Brewers",0,1,0,0
661145,"2022-05-16",1,"N","Los Angeles Angels","Texas Rangers",4,7,4,6
662728,"2022-05-16",1,"N","Chicago White Sox","Kansas City Royals",5,3,3,0
663005,"2022-05-16",1,"N","San Francisco Giants","Colorado Rockies",7,6,4,3
662378,"2022-05-16",1,"N","Minnesota Twins","Oakland Athletics",3,1,2,1
662695,"2022-05-16",1,"N","Arizona Diamondbacks","Los Angeles Dodgers",4,5,2,3
662780,"2022-05-17",1,"S","Chicago White Sox","Kansas City Royals",3,0,3,0
662727,"2022-05-17",2,"S","Chicago White Sox","Kansas City Royals",1,2,0,1
662628,"2022-05-17",1,"S","Arizona Diamondbacks","Los Angeles Dodgers",6,7,3,1
662697,"2022-05-17",2,"S","Arizona Diamondbacks","Los Angeles Dodgers",3,12,2,8
662507,"2022-05-17",1,"Y","St. Louis Cardinals","New York Mets",1,3,0,3
662566,"2022-05-17",2,"Y","St. Louis Cardinals","New York Mets",4,3,3,2
663032,"2022-05-17",1,"N","Cincinnati Reds","Cleveland Guardians",5,4,1,1
662053,"2022-05-17",1,"N","Detroit Tigers","Tampa Bay Rays",1,8,1,6
661401,"2022-05-17",1,"N","Washington Nationals","Miami Marlins",1,5,0,1
661625,"2022-05-17",1,"N","San Diego Padres","Philadelphia Phillies",3,0,1,0
661342,"2022-05-17",1,"N","New York Yankees","Baltimore Orioles",5,4,3,3
661765,"2022-05-17",1,"N","Seattle Mariners","Toronto Blue Jays",0,3,0,3
663271,"2022-05-17",1,"N","Houston Astros","Boston Red Sox",13,4,13,4
663157,"2022-05-17",1,"N","Pittsburgh Pirates","Chicago Cubs",0,7,0,6
661196,"2022-05-17",1,"N","Atlanta Braves","Milwaukee Brewers",3,0,1,0
661126,"2022-05-17",1,"N","Los Angeles Angels","Texas Rangers",5,10,3,3
663004,"2022-05-17",1,"N","San Francisco Giants","Colorado Rockies",10,7,8,2
662370,"2022-05-17",1,"N","Minnesota Twins","Oakland Athletics",2,5,1,2
662054,"2022-05-18",1,"N","Detroit Tigers","Tampa Bay Rays",1,6,0,4
661202,"2022-05-18",1,"N","Atlanta Braves","Milwaukee Brewers",6,7,4,2
663003,"2022-05-18",1,"N","San Francisco Giants","Colorado Rockies",3,5,3,2
662377,"2022-05-18",1,"N","Minnesota Twins","Oakland Athletics",14,4,6,2
662744,"2022-05-18",1,"N","Arizona Diamondbacks","Los Angeles Dodgers",3,5,2,5
663270,"2022-05-18",1,"N","Houston Astros","Boston Red Sox",1,5,1,5
661400,"2022-05-18",1,"N","Washington Nationals","Miami Marlins",5,4,3,3
661624,"2022-05-18",1,"N","San Diego Padres","Philadelphia Phillies",0,3,0,3
661344,"2022-05-18",1,"N","New York Yankees","Baltimore Orioles",3,2,3,0
661767,"2022-05-18",1,"N","Seattle Mariners","Toronto Blue Jays",5,1,2,1
662554,"2022-05-18",1,"N","St. Louis Cardinals","New York Mets",4,11,2,6
663156,"2022-05-18",1,"N","Pittsburgh Pirates","Chicago Cubs",3,2,3,2
661125,"2022-05-18",1,"N","Los Angeles Angels","Texas Rangers",5,6,2,1
662726,"2022-05-18",1,"N","Chicago White Sox","Kansas City Royals",2,6,2,2
661347,"2022-05-19",1,"N","New York Yankees","Baltimore Orioles",6,9,3,3
661623,"2022-05-19",1,"N","San Diego Padres","Philadelphia Phillies",2,0,2,0
663043,"2022-05-19",1,"N","Cincinnati Reds","Cleveland Guardians",4,2,1,1
662520,"2022-05-19",1,"N","St. Louis Cardinals","New York Mets",6,7,3,5
662715,"2022-05-19",1,"N","Chicago White Sox","Kansas City Royals",7,4,3,4
663269,"2022-05-19",1,"N","Seattle Mariners","Boston Red Sox",6,12,4,4
663193,"2022-05-19",1,"N","Arizona Diamondbacks","Chicago Cubs",3,1,3,1
662778,"2022-05-19",1,"N","Texas Rangers","Houston Astros",1,5,1,2
663143,"2022-05-20",1,"N","Arizona Diamondbacks","Chicago Cubs",10,6,7,3
662506,"2022-05-20",1,"N","St. Louis Cardinals","Pittsburgh Pirates",5,3,1,0
661339,"2022-05-20",1,"N","Atlanta Braves","Miami Marlins",5,3,5,1
661348,"2022-05-20",1,"N","Tampa Bay Rays","Baltimore Orioles",6,8,3,0
661632,"2022-05-20",1,"N","Los Angeles Dodgers","Philadelphia Phillies",4,1,3,0
661766,"2022-05-20",1,"N","Cincinnati Reds","Toronto Blue Jays",1,2,0,2
663135,"2022-05-20",1,"N","Detroit Tigers","Cleveland Guardians",1,6,0,0
663268,"2022-05-20",1,"N","Seattle Mariners","Boston Red Sox",3,7,2,4
662764,"2022-05-20",1,"N","Texas Rangers","Houston Astros",3,0,1,0
662714,"2022-05-20",1,"N","Minnesota Twins","Kansas City Royals",6,4,4,1
661195,"2022-05-20",1,"N","Washington Nationals","Milwaukee Brewers",0,7,0,0
663449,"2022-05-20",1,"N","Oakland Athletics","Los Angeles Angels",4,2,3,2
662078,"2022-05-20",1,"N","San Diego Padres","San Francisco Giants",8,7,4,4
661289,"2022-05-21",1,"N","Chicago White Sox","New York Yankees",5,7,3,6
663194,"2022-05-21",1,"N","Arizona Diamondbacks","Chicago Cubs",7,6,0,4
661793,"2022-05-21",1,"N","Cincinnati Reds","Toronto Blue Jays",1,3,1,1
663002,"2022-05-21",1,"S","New York Mets","Colorado Rockies",5,1,4,0
663001,"2022-05-21",2,"S","New York Mets","Colorado Rockies",3,11,2,4
662077,"2022-05-21",1,"N","San Diego Padres","San Francisco Giants",2,1,1,0
663234,"2022-05-21",1,"N","Seattle Mariners","Boston Red Sox",5,6,5,5
661631,"2022-05-21",1,"N","Los Angeles Dodgers","Philadelphia Phillies",7,4,3,4
661399,"2022-05-21",1,"N","Atlanta Braves","Miami Marlins",4,3,1,0
662478,"2022-05-21",1,"N","St. Louis Cardinals","Pittsburgh Pirates",5,4,5,4
661291,"2022-05-21",1,"N","Tampa Bay Rays","Baltimore Orioles",6,1,3,0
662763,"2022-05-21",1,"N","Texas Rangers","Houston Astros",1,2,0,2
662713,"2022-05-21",1,"N","Minnesota Twins","Kansas City Royals",9,2,2,1
661280,"2022-05-21",1,"N","Washington Nationals","Milwaukee Brewers",1,5,1,5
663448,"2022-05-21",1,"N","Oakland Athletics","Los Angeles Angels",3,5,0,1
662479,"2022-05-22",1,"N","St. Louis Cardinals","Pittsburgh Pirates",18,4,12,0
663277,"2022-05-22",1,"N","Seattle Mariners","Boston Red Sox",4,8,0,2
661279,"2022-05-22",1,"N","Tampa Bay Rays","Baltimore Orioles",6,7,5,3
661611,"2022-05-22",1,"N","Los Angeles Dodgers","Philadelphia Phillies",3,4,2,0
661763,"2022-05-22",1,"N","Cincinnati Reds","Toronto Blue Jays",3,2,2,2
663120,"2022-05-22",1,"N","Detroit Tigers","Cleveland Guardians",4,2,3,2
661398,"2022-05-22",1,"N","Atlanta Braves","Miami Marlins",3,4,1,1
662857,"2022-05-22",1,"N","Texas Rangers","Houston Astros",2,5,1,4
662712,"2022-05-22",1,"N","Minnesota Twins","Kansas City Royals",7,6,0,1
661248,"2022-05-22",1,"N","Washington Nationals","Milwaukee Brewers",8,2,8,2
663150,"2022-05-22",1,"N","Arizona Diamondbacks","Chicago Cubs",4,5,0,3
661288,"2022-05-22",1,"Y","Chicago White Sox","New York Yankees",3,1,1,0
661290,"2022-05-22",2,"Y","Chicago White Sox","New York Yankees",5,0,0,0
662982,"2022-05-22",1,"N","New York Mets","Colorado Rockies",2,0,0,0
662076,"2022-05-22",1,"N","San Diego Padres","San Francisco Giants",10,1,8,1
663447,"2022-05-22",1,"N","Oakland Athletics","Los Angeles Angels",1,4,0,3
662455,"2022-05-23",1,"N","Colorado Rockies","Pittsburgh Pirates",1,2,1,1
663073,"2022-05-23",1,"N","Chicago Cubs","Cincinnati Reds",7,4,4,0
662524,"2022-05-23",1,"N","Los Angeles Dodgers","Washington Nationals",10,1,6,0
661287,"2022-05-23",1,"N","Baltimore Orioles","New York Yankees",6,4,4,4
661544,"2022-05-23",1,"N","Philadelphia Phillies","Atlanta Braves",7,3,7,1
661730,"2022-05-23",1,"N","Detroit Tigers","Minnesota Twins",4,5,2,4
661999,"2022-05-23",1,"N","Toronto Blue Jays","St. Louis Cardinals",3,7,0,1
662858,"2022-05-23",1,"N","Cleveland Guardians","Houston Astros",6,1,4,0
663340,"2022-05-23",1,"N","Kansas City Royals","Arizona Diamondbacks",5,9,5,7
662135,"2022-05-23",1,"N","Oakland Athletics","Seattle Mariners",6,7,3,7
662257,"2022-05-23",1,"N","Milwaukee Brewers","San Diego Padres",2,3,2,1
662075,"2022-05-23",1,"N","New York Mets","San Francisco Giants",13,3,5,2
662454,"2022-05-24",1,"N","Colorado Rockies","Pittsburgh Pirates",2,1,0,1
663103,"2022-05-24",1,"N","Chicago Cubs","Cincinnati Reds",11,4,10,2
661978,"2022-05-24",1,"N","Miami Marlins","Tampa Bay Rays",0,4,0,2
662536,"2022-05-24",1,"N","Los Angeles Dodgers","Washington Nationals",9,4,8,3
661285,"2022-05-24",1,"N","Baltimore Orioles","New York Yankees",6,7,1,3
661543,"2022-05-24",1,"N","Philadelphia Phillies","Atlanta Braves",5,6,1,2
661699,"2022-05-24",1,"N","Detroit Tigers","Minnesota Twins",0,2,0,2
661998,"2022-05-24",1,"N","Toronto Blue Jays","St. Louis Cardinals",8,1,4,0
662846,"2022-05-24",1,"N","Cleveland Guardians","Houston Astros",3,7,1,7
661488,"2022-05-24",1,"N","Boston Red Sox","Chicago White Sox",16,3,16,3
663381,"2022-05-24",1,"N","Texas Rangers","Los Angeles Angels",3,5,0,5
663339,"2022-05-24",1,"N","Kansas City Royals","Arizona Diamondbacks",6,8,3,3
662134,"2022-05-24",1,"N","Oakland Athletics","Seattle Mariners",7,5,4,5
