gamedate,AwayTeam,AwaySP,HomeTeam,HomeSP,bet_type,AO.Odds,AO.SpreadTotal,HU.Odds,HU.SpreadTotal,AwayRunsProj,HomeRunsProj,AO_ImpliedOdds,HU_ImpliedOdds,AO_ProjOdds,HU_ProjOdds,AO.Odds_Diff,HU.Odds_Diff,Pick,Pick_Odds,Pick_SpreadTotal,Pick_WinProb,Pick_Edge,Fract_Odds,Kelly_Criteria,bet_type_full,KC_tier,bet,
8/16/2021,Orioles,Matt Harvey,Rays,Collin McHugh,Total,-120,8.5,100,8.5,4.078348179,4.90764518,0.545454545,0.5,0.542500448,0.457499489,-0.002954097,-0.042500511,Over,-120,8.5,0.542500448,-0.002954097,0.833333333,-0.006499013,Total - Game,-0.05,,
8/16/2021,Orioles,Matt Harvey,Rays,Josh Fleming,F5 Total,-130,4.5,100,4.5,2.158015437,2.856665777,0.565217391,0.5,0.562078996,0.437921004,-0.003138395,-0.062078996,Over,-130,4.5,0.562078996,-0.003138395,0.769230769,-0.00721831,Total - 5 Inning Line,-0.05,,
8/16/2021,Orioles,Matt Harvey,Rays,Collin McHugh,Alt TT,155,4,-210,4,4.078348179,4.90764518,0.392156863,0.677419355,0.38646582,0.418315283,-0.005691043,-0.259104072,Over,155,4,0.38646582,-0.005691043,1.55,-0.009362683,Team Total - Baltimore Orioles - 4,-0.05,,
8/16/2021,Orioles,Matt Harvey,Rays,Josh Fleming,Alt TT,185,4.5,-250,4.5,3.861692993,4.90764518,0.350877193,0.714285714,0.344164365,0.655835634,-0.006712828,-0.05845008,Over,185,4.5,0.344164365,-0.006712828,1.85,-0.010341384,Team Total - Baltimore Orioles - 4.5,-0.05,,
8/16/2021,Mets,Rich Hill,Giants,Kevin Gausman,F5RL,125,0.5,-165,-0.5,1.551812181,2.693044222,0.444444444,0.622641509,0.381658562,0.618341438,-0.062785882,-0.004300072,Giants,-165,-0.5,0.618341438,-0.004300072,0.606060606,-0.01139519,Runline - 5 Inning Line,-0.05,,
8/16/2021,Braves,Touki Toussaint,Marlins,Braxton Garrett,Alt Total,160,10,-215,10,5.341808907,4.333679384,0.384615385,0.682539683,0.376432655,0.499128618,-0.008182729,-0.183411065,Over,160,10,0.376432655,-0.008182729,1.6,-0.013296935,Alternate Total - Game - 10,-0.05,,
8/16/2021,Orioles,Matt Harvey,Rays,Josh Fleming,TT,-120,3,-110,3,3.861692993,4.90764518,0.545454545,0.523809524,0.539053567,0.25907725,-0.006400979,-0.264732274,Over,-120,3,0.539053567,-0.006400979,0.833333333,-0.014082153,Team Total - Baltimore Orioles - 3,-0.05,,
8/16/2021,Cubs,Justin Steele,Reds,Wade Miley,Alt F5 Total,-165,4.5,125,4.5,2.15619383,3.185364704,0.622641509,0.444444444,0.617266976,0.382733024,-0.005374533,-0.061711421,Over,-165,4.5,0.617266976,-0.005374533,0.606060606,-0.014242513,Alternate Total - 5 Inning Line - 4.5,-0.05,,
8/16/2021,Mets,Rich Hill,Giants,Kevin Gausman,TT,100,3.5,-130,3.5,3.401001357,5.00668311,0.5,0.565217391,0.441861846,0.558138154,-0.058138154,-0.007079237,Under,-130,3.5,0.558138154,-0.007079237,0.769230769,-0.016282245,Team Total - New York Mets - 3.5,-0.05,,
8/16/2021,Astros,Jake Odorizzi,Royals,Carlos Hernandez,Alt F5 Total,140,6.5,-185,6.5,3.093808857,2.985957689,0.416666667,0.649122807,0.406507322,0.593492678,-0.010159345,-0.055630129,Over,140,6.5,0.406507322,-0.010159345,1.4,-0.01741602,Alternate Total - 5 Inning Line - 6.5,-0.05,,
8/16/2021,Braves,Touki Toussaint,Marlins,Braxton Garrett,TT,120,5,-160,5,5.341808907,4.333679384,0.454545455,0.615384615,0.443790274,0.382692358,-0.010755181,-0.232692257,Over,120,5,0.443790274,-0.010755181,1.2,-0.019717831,Team Total - Atlanta Braves - 5,-0.05,,
8/16/2021,Cubs,Justin Steele,Reds,Wade Miley,Alt F5 Total,100,5.5,-130,5.5,2.15619383,3.185364704,0.5,0.565217391,0.443747065,0.556252935,-0.056252935,-0.008964456,Under,-130,5.5,0.556252935,-0.008964456,0.769230769,-0.020618249,Alternate Total - 5 Inning Line - 5.5,-0.05,,
8/16/2021,Mets,Rich Hill,Giants,Kevin Gausman,Alt F5 Total,-200,3.5,150,3.5,1.551812181,2.693044222,0.666666667,0.4,0.612849019,0.387150981,-0.053817648,-0.012849019,Under,150,3.5,0.387150981,-0.012849019,1.5,-0.021415032,Alternate Total - 5 Inning Line - 3.5,-0.05,,
8/16/2021,Angels,Jose Suarez,Yankees,Gerrit Cole,Total,-125,8.5,105,8.5,3.953246688,4.89100788,0.555555556,0.487804878,0.523656787,0.476343155,-0.031898768,-0.011461723,Under,105,8.5,0.476343155,-0.011461723,1.05,-0.022377651,Total - Game,-0.05,,
8/16/2021,Indians,Cal Quantrill,Twins,Griffin Jax,F5RL,-125,0.5,-105,-0.5,2.812778972,3.055582627,0.555555556,0.512195122,0.54487394,0.45512606,-0.010681616,-0.057069062,Indians,-125,0.5,0.54487394,-0.010681616,0.8,-0.024033635,Runline - 5 Inning Line,-0.05,,
8/16/2021,Cubs,Justin Steele,Reds,Wade Miley,Total,-105,9.5,-115,9.5,4.713588555,4.778646837,0.512195122,0.534883721,0.477164284,0.522835646,-0.035030838,-0.012048075,Under,-115,9.5,0.522835646,-0.012048075,0.869565217,-0.025903361,Total - Game,-0.05,,
8/16/2021,Cubs,Justin Steele,Reds,Wade Miley,F5ML,155,NA,-210,NA,2.15619383,3.185364704,0.392156863,0.677419355,0.331293724,0.668706276,-0.060863139,-0.008713079,Reds,-210,NA,0.668706276,-0.008713079,0.476190476,-0.027010544,Moneyline - 5 Inning Line,-0.05,,
8/16/2021,Orioles,Matt Harvey,Rays,Josh Fleming,Total,-120,8.5,100,8.5,3.861692993,4.90764518,0.545454545,0.5,0.513591008,0.486408931,-0.031863538,-0.013591069,Under,100,8.5,0.486408931,-0.013591069,1,-0.027182137,Total - Game,-0.05,,
8/16/2021,Mets,Rich Hill,Giants,Kevin Gausman,RL,-110,1.5,-110,-1.5,3.401001357,5.00668311,0.523809524,0.523809524,0.489885549,0.510114368,-0.033923975,-0.013695156,Giants,-110,-1.5,0.510114368,-0.013695156,0.909090909,-0.028759827,Runline - Game,-0.05,,
8/16/2021,Indians,Cal Quantrill,Twins,Griffin Jax,F5ML,110,NA,-145,NA,2.812778972,3.055582627,0.476190476,0.591836735,0.460951511,0.539048489,-0.015238966,-0.052788245,Indians,110,NA,0.460951511,-0.015238966,1.1,-0.029092571,Moneyline - 5 Inning Line,-0.05,,
8/16/2021,Mets,Rich Hill,Giants,Kevin Gausman,F5ML,185,NA,-250,NA,1.551812181,2.693044222,0.350877193,0.714285714,0.294183478,0.705816522,-0.056693715,-0.008469192,Giants,-250,NA,0.705816522,-0.008469192,0.4,-0.029642174,Moneyline - 5 Inning Line,-0.05,,
