"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate"
718768,"/api/v1.1/game/718768/feed/live","R","2023","2023-03-30T23:08:00Z","2023-03-30",FALSE,1,TRUE,"N","P","N","14-718768-2023-03-30","2023","night","Astros home opener",9,FALSE,145,4,1,"Regular Season","S","N","Normal Game","Final","FALSE","Final","FALSE",FALSE,"FALSE",3,TRUE,FALSE,1,1,0,"1",145,"Chicago White Sox","/api/v1/teams/145",2,FALSE,FALSE,1,0,1,"0",117,"Houston Astros","/api/v1/teams/117",2392,"Minute Maid Park","/api/v1/venues/2392","/api/v1/game/718768/content",NA,NA,NA,NA,NA
718778,"/api/v1.1/game/718778/feed/live","R","2023","2023-03-31T01:40:00Z","2023-03-30",FALSE,1,TRUE,"N","P","N","14-718778-2023-03-30","2023","night","Padres home opener",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","FALSE","Final","FALSE",FALSE,"FALSE",7,TRUE,FALSE,1,1,0,"1",115,"Colorado Rockies","/api/v1/teams/115",2,FALSE,FALSE,1,0,1,"0",135,"San Diego Padres","/api/v1/teams/135",2680,"Petco Park","/api/v1/venues/2680","/api/v1/game/718778/content",NA,NA,NA,NA,NA
718769,"/api/v1.1/game/718769/feed/live","R","2023","2023-03-31T02:07:00Z","2023-03-30",FALSE,1,TRUE,"N","P","N","14-718769-2023-03-30","2023","night","Athletics home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","FALSE","Final","FALSE",FALSE,"FALSE",1,FALSE,FALSE,1,0,1,"0",108,"Los Angeles Angels","/api/v1/teams/108",2,TRUE,FALSE,1,1,0,"1",133,"Oakland Athletics","/api/v1/teams/133",10,"Oakland Coliseum","/api/v1/venues/10","/api/v1/game/718769/content",NA,NA,NA,NA,NA
718770,"/api/v1.1/game/718770/feed/live","R","2023","2023-03-31T02:10:00Z","2023-03-30",FALSE,1,TRUE,"N","P","N","14-718770-2023-03-30","2023","night","Dodgers home opener",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","FALSE","Final","FALSE",FALSE,"FALSE",2,FALSE,FALSE,1,0,1,"0",109,"Arizona Diamondbacks","/api/v1/teams/109",8,TRUE,FALSE,1,1,0,"1",119,"Los Angeles Dodgers","/api/v1/teams/119",22,"Dodger Stadium","/api/v1/venues/22","/api/v1/game/718770/content",NA,NA,NA,NA,NA
718767,"/api/v1.1/game/718767/feed/live","R","2023","2023-03-31T02:10:00Z","2023-03-30",FALSE,1,TRUE,"N","P","N","14-718767-2023-03-30","2023","night","Mariners home opener",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","FALSE","Final","FALSE",FALSE,"FALSE",0,FALSE,FALSE,1,0,1,"0",114,"Cleveland Guardians","/api/v1/teams/114",3,TRUE,FALSE,1,1,0,"1",136,"Seattle Mariners","/api/v1/teams/136",680,"T-Mobile Park","/api/v1/venues/680","/api/v1/game/718767/content",NA,NA,NA,NA,NA
718771,"/api/v1.1/game/718771/feed/live","R","2023","2023-03-31T22:40:00Z","2023-03-31",FALSE,1,TRUE,"N","P","N","14-718771-2023-03-31","2023","night",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","FALSE","Final","FALSE",FALSE,"FALSE",1,FALSE,FALSE,1,1,1,"0.5",121,"New York Mets","/api/v1/teams/121",2,TRUE,FALSE,1,1,1,"0.5",146,"Miami Marlins","/api/v1/teams/146",4169,"loanDepot park","/api/v1/venues/4169","/api/v1/game/718771/content",NA,NA,NA,NA,NA
718764,"/api/v1.1/game/718764/feed/live","R","2023","2023-04-01T00:10:00Z","2023-03-31",FALSE,1,TRUE,"N","P","N","14-718764-2023-03-31","2023","night",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","FALSE","Final","FALSE",FALSE,"FALSE",3,FALSE,FALSE,1,1,1,"0.5",145,"Chicago White Sox","/api/v1/teams/145",6,TRUE,FALSE,1,1,1,"0.5",117,"Houston Astros","/api/v1/teams/117",2392,"Minute Maid Park","/api/v1/venues/2392","/api/v1/game/718764/content",NA,NA,NA,NA,NA
718766,"/api/v1.1/game/718766/feed/live","R","2023","2023-04-01T01:40:00Z","2023-03-31",FALSE,1,TRUE,"N","P","N","14-718766-2023-03-31","2023","night",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","FALSE","Final","FALSE",FALSE,"FALSE",4,TRUE,FALSE,1,2,0,"1",115,"Colorado Rockies","/api/v1/teams/115",1,FALSE,FALSE,1,0,2,"0",135,"San Diego Padres","/api/v1/teams/135",2680,"Petco Park","/api/v1/venues/2680","/api/v1/game/718766/content",NA,NA,NA,NA,NA
718765,"/api/v1.1/game/718765/feed/live","R","2023","2023-04-01T02:10:00Z","2023-03-31",FALSE,1,TRUE,"N","P","N","14-718765-2023-03-31","2023","night",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","FALSE","Final","FALSE",FALSE,"FALSE",2,TRUE,FALSE,1,1,1,"0.5",109,"Arizona Diamondbacks","/api/v1/teams/109",1,FALSE,FALSE,1,1,1,"0.5",119,"Los Angeles Dodgers","/api/v1/teams/119",22,"Dodger Stadium","/api/v1/venues/22","/api/v1/game/718765/content",NA,NA,NA,NA,NA
718763,"/api/v1.1/game/718763/feed/live","R","2023","2023-04-01T02:10:00Z","2023-03-31",FALSE,1,TRUE,"N","P","N","14-718763-2023-03-31","2023","night",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","FALSE","Final","FALSE",FALSE,"FALSE",9,TRUE,FALSE,1,1,1,"0.5",114,"Cleveland Guardians","/api/v1/teams/114",4,FALSE,FALSE,1,1,1,"0.5",136,"Seattle Mariners","/api/v1/teams/136",680,"T-Mobile Park","/api/v1/venues/680","/api/v1/game/718763/content",NA,NA,NA,NA,NA
