"game_pk","game_date","fullName","id","team","team_id","home_plate_full_name","home_plate_id"
718780,"2023-03-30","Max Fried",608331,"Atlanta Braves",144,"Dan Bellino",483564
718780,"2023-03-30","Patrick Corbin",571578,"Washington Nationals",120,"Dan Bellino",483564
718781,"2023-03-30","Logan Webb",657277,"San Francisco Giants",137,"Laz Diaz",427113
718781,"2023-03-30","Gerrit Cole",543037,"New York Yankees",147,"Laz Diaz",427113
718782,"2023-03-30","Kyle Gibson",502043,"Baltimore Orioles",110,"Lance Barksdale",427013
718782,"2023-03-30","Corey Kluber",446372,"Boston Red Sox",111,"Lance Barksdale",427013
718777,"2023-03-30","Corbin Burnes",669203,"Milwaukee Brewers",158,"Ron Kulpa",427292
718777,"2023-03-30","Marcus Stroman",573186,"Chicago Cubs",112,"Ron Kulpa",427292
718776,"2023-03-30","Eduardo Rodriguez",593958,"Detroit Tigers",116,"Jerry Layne",427299
718776,"2023-03-30","Shane McClanahan",663556,"Tampa Bay Rays",139,"Jerry Layne",427299
718779,"2023-03-30","Aaron Nola",605400,"Philadelphia Phillies",143,"Jeff Nelson",427362
718779,"2023-03-30","Jacob deGrom",594798,"Texas Rangers",140,"Jeff Nelson",427362
718773,"2023-03-30","Mitch Keller",656605,"Pittsburgh Pirates",134,"Mark Wegner",427533
718773,"2023-03-30","Hunter Greene",668881,"Cincinnati Reds",113,"Mark Wegner",427533
718772,"2023-03-30","Alek Manoah",666201,"Toronto Blue Jays",141,"Dan Iassogna",427248
718772,"2023-03-30","Miles Mikolas",571945,"St. Louis Cardinals",138,"Dan Iassogna",427248
718775,"2023-03-30","Pablo Lopez",641154,"Minnesota Twins",142,"Todd Tichenor",429805
718775,"2023-03-30","Zack Greinke",425844,"Kansas City Royals",118,"Todd Tichenor",429805
718774,"2023-03-30","Max Scherzer",453286,"New York Mets",121,"Larry Vanover",427520
718774,"2023-03-30","Sandy Alcantara",645261,"Miami Marlins",146,"Larry Vanover",427520
718768,"2023-03-30","Dylan Cease",656302,"Chicago White Sox",145,"Bill Miller",427344
718768,"2023-03-30","Framber Valdez",664285,"Houston Astros",117,"Bill Miller",427344
718778,"2023-03-30","German Marquez",608566,"Colorado Rockies",115,"Chris Conroy",482620
718778,"2023-03-30","Blake Snell",605483,"San Diego Padres",135,"Chris Conroy",482620
718769,"2023-03-30","Shohei Ohtani",660271,"Los Angeles Angels",108,"Adrian Johnson",482641
718769,"2023-03-30","Kyle Muller",666205,"Oakland Athletics",133,"Adrian Johnson",482641
718770,"2023-03-30","Zac Gallen",668678,"Arizona Diamondbacks",109,"Marvin Hudson",427243
718770,"2023-03-30","Julio Urias",628711,"Los Angeles Dodgers",119,"Marvin Hudson",427243
718767,"2023-03-30","Shane Bieber",669456,"Cleveland Guardians",114,"Mark Carlson",427053
718767,"2023-03-30","Luis Castillo",622491,"Seattle Mariners",136,"Mark Carlson",427053
718771,"2023-03-31","David Peterson",656849,"New York Mets",121,"Chris Guccione",427197
