"Name","Team","G","GS","IP","K.","BB.","HR.9","BABIP","LOB.","GB.","LD.","FB.","HR.FB","EV","WHIP","ERA","FIP","xFIP","SIERA","WAR","Start.IP","Relief.IP","O.Swing.","F.Strike.","SwStr.","Zone.","Barrel.","HardHit.","Date","url"
"JT Chargois","MIA",3,0,3,0.333,0,0,0,1,0.833,0,0.167,0,84.7,0,0,1.2,1.75,0.62,0.2,NA,3,0.35,0.778,0.108,0.459,0,0.167,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Matt Strahm","PHI",2,1,5,0.235,0.059,0,0.083,1,0.333,0,0.667,0,93.8,0.4,0,2.2,4.84,4.16,0.2,4,1,0.333,0.529,0.169,0.494,0.167,0.5,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Brent Suter","COL",2,0,3,0.222,0.111,0,0,1,0.333,0.167,0.5,0,79.1,0.33,0,2.87,4.52,4.31,0,NA,3,0.304,0.889,0.07,0.465,0,0.167,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Kevin Gausman","TOR",1,1,6,0.259,0.037,0,0.421,0.667,0.579,0.211,0.211,0,91.8,1.5,0,1.37,2.47,2.74,0.3,6,NA,0.396,0.741,0.111,0.467,0,0.579,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Josh Hader","SDP",2,0,2,0.5,0,0,0,1,0,0,1,0,89.3,0,0,0.2,2.68,1.62,0.1,NA,2,0.526,0.833,0.233,0.367,0,0.333,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Wandy Peralta","NYY",2,0,1.2,0.571,0,0,0.5,1,0.5,0.5,0,0,108.9,0.6,0,0.2,0.2,0.12,0.1,NA,1.2,0.286,0.286,0.25,0.344,0,0.5,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Jose Leclerc","TEX",1,0,1,0.2,0.2,0,0.333,1,0,0,1,0,75.8,2,0,4.2,9.15,7.83,0,NA,1,0.333,0.6,0.19,0.286,0,0,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Jorge Lopez","MIN",3,0,2.2,0.25,0,0,0,1,0.667,0.167,0.167,0,80.3,0,0,1.7,2.32,1.63,0.1,NA,2.2,0.4,1,0.042,0.583,0,0.5,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Carlos Estevez","LAA",2,0,2,0.333,0.222,0,0.25,1,0.25,0.25,0.5,0,91.4,1.5,0,3.2,4.85,4.73,0,NA,2,0.217,0.667,0.14,0.465,0,0.25,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Duane Underwood Jr.","PIT",2,0,2.1,0.333,0,0,0.333,1,0.333,0.167,0.5,0,80.5,0.86,0,0.63,2.75,1.97,0.1,NA,2.1,0.333,0.556,0.176,0.471,0.167,0.167,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Sam Moll","OAK",3,0,2.1,0.125,0.25,0,0,1,0.6,0.2,0.2,0,91.4,0.86,0,4.91,5.62,7.39,0,NA,2.1,0.19,0.625,0,0.4,0,0.6,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Giovanny Gallegos","STL",1,0,1,0.5,0,0,0.5,1,0,1,0,0,92.1,1,0,-0.8,-0.8,0.53,0,NA,1,0.333,1,0.286,0.357,0,0.5,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Scott Barlow","KCR",1,0,1,0,0.333,0,0,1,1,0,0,0,59.8,1,0,6.2,6.2,8.99,0,NA,1,0.091,NA,0,0.154,0,0.5,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Trevor Gott","SEA",3,0,3.1,0.059,0,0,0.375,0.5,0.5,0.125,0.375,0,87.1,1.8,0,2.6,5.57,4.82,0.1,NA,3.1,0.444,0.765,0.065,0.419,0,0.375,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Adam Cimber","TOR",3,0,3,0.167,0.167,0,0,1,0.286,0.143,0.571,0,95.2,0.67,0,4.87,7.07,5.95,0,NA,3,0.233,0.417,0.065,0.348,0,0.571,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Tyler Rogers","SFG",2,0,2,0.143,0,0,0.167,1,0.667,0,0.333,0,91.3,0.5,0,2.2,3.85,3.13,0,NA,2,0.333,0.714,0.053,0.684,0.167,0.667,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
