"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","description","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate","copyright","totalItems","totalEvents","totalGames","totalGamesInProgress"
633766,"/api/v1.1/game/633766/feed/live","R","2021","2021-06-08T23:10:00Z","2021-06-08",FALSE,1,TRUE,"N","P","N","14-633766-2021-06-08","2021","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,19,24,33,".421",120,"Washington Nationals","/api/v1/teams/120",3,TRUE,FALSE,20,39,23,".629",139,"Tampa Bay Rays","/api/v1/teams/139",12,"Tropicana Field","/api/v1/venues/12","/api/v1/game/633766/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633813,"/api/v1.1/game/633813/feed/live","R","2021","2021-06-08T23:10:00Z","2021-06-08",FALSE,1,TRUE,"N","P","N","14-633813-2021-06-08","2021","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,20,24,37,".393",115,"Colorado Rockies","/api/v1/teams/115",6,TRUE,FALSE,21,26,35,".426",146,"Miami Marlins","/api/v1/teams/146",4169,"loanDepot park","/api/v1/venues/4169","/api/v1/game/633813/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633801,"/api/v1.1/game/633801/feed/live","R","2021","2021-06-08T23:10:00Z","2021-06-08",FALSE,1,TRUE,"N","P","N","14-633801-2021-06-08","2021","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,20,34,26,".567",158,"Milwaukee Brewers","/api/v1/teams/158",1,FALSE,FALSE,20,28,30,".483",113,"Cincinnati Reds","/api/v1/teams/113",2602,"Great American Ball Park","/api/v1/venues/2602","/api/v1/game/633801/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633752,"/api/v1.1/game/633752/feed/live","R","2021","2021-06-09T00:05:00Z","2021-06-08",FALSE,1,TRUE,"N","P","N","14-633752-2021-06-08","2021","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,9,TRUE,FALSE,20,38,22,".633",137,"San Francisco Giants","/api/v1/teams/137",4,FALSE,FALSE,20,23,39,".371",140,"Texas Rangers","/api/v1/teams/140",5325,"Globe Life Field","/api/v1/venues/5325","/api/v1/game/633752/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633788,"/api/v1.1/game/633788/feed/live","R","2021","2021-06-09T00:10:00Z","2021-06-08",FALSE,1,TRUE,"N","P","N","14-633788-2021-06-08","2021","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,20,30,28,".517",141,"Toronto Blue Jays","/api/v1/teams/141",6,TRUE,FALSE,20,37,23,".617",145,"Chicago White Sox","/api/v1/teams/145",4,"Guaranteed Rate Field","/api/v1/venues/4","/api/v1/game/633788/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633804,"/api/v1.1/game/633804/feed/live","R","2021","2021-06-09T00:10:00Z","2021-06-08",FALSE,1,TRUE,"N","P","N","14-633804-2021-06-08","2021","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,20,32,29,".525",147,"New York Yankees","/api/v1/teams/147",4,FALSE,FALSE,21,24,36,".400",142,"Minnesota Twins","/api/v1/teams/142",3312,"Target Field","/api/v1/venues/3312","/api/v1/game/633804/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633778,"/api/v1.1/game/633778/feed/live","R","2021","2021-06-09T00:15:00Z","2021-06-08",FALSE,1,TRUE,"N","P","N","14-633778-2021-06-08","2021","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,10,TRUE,FALSE,20,32,26,".552",114,"Cleveland Indians","/api/v1/teams/114",1,FALSE,FALSE,20,31,30,".508",138,"St. Louis Cardinals","/api/v1/teams/138",2889,"Busch Stadium","/api/v1/venues/2889","/api/v1/game/633778/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633826,"/api/v1.1/game/633826/feed/live","R","2021","2021-06-09T01:38:00Z","2021-06-08",FALSE,1,TRUE,"N","P","N","14-633826-2021-06-08","2021","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,20,29,30,".492",118,"Kansas City Royals","/api/v1/teams/118",8,TRUE,FALSE,21,29,32,".475",108,"Los Angeles Angels","/api/v1/teams/108",1,"Angel Stadium","/api/v1/venues/1","/api/v1/game/633826/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633765,"/api/v1.1/game/633765/feed/live","R","2021","2021-06-09T01:40:00Z","2021-06-08",FALSE,1,TRUE,"N","P","N","14-633765-2021-06-08","2021","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,20,20,42,".323",109,"Arizona Diamondbacks","/api/v1/teams/109",5,TRUE,FALSE,20,36,26,".581",133,"Oakland Athletics","/api/v1/teams/133",10,"Oakland Coliseum","/api/v1/venues/10","/api/v1/game/633765/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633777,"/api/v1.1/game/633777/feed/live","R","2021","2021-06-09T02:10:00Z","2021-06-08",FALSE,1,TRUE,"N","P","N","14-633777-2021-06-08","2021","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,20,34,27,".557",112,"Chicago Cubs","/api/v1/teams/112",1,FALSE,FALSE,20,37,26,".587",135,"San Diego Padres","/api/v1/teams/135",2680,"Petco Park","/api/v1/venues/2680","/api/v1/game/633777/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
