"Team","PA","HR","R","RBI","SB","BB.","K.","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC.","EV","BsR","Off","Def","WAR","LD.","GB.","FB.","HR.FB","O.Swing.","SwStr.","Barrel.","HardHit.","Date"
"BOS",47,0,13,13,0,0.149,0.191,0.2,0.548,0.425,0.511,0.625,0.484,210,90.5,-0.1,6.3,-0.1,0.7,0.387,0.29,0.323,0,0.286,0.11,0.032,0.419,2020-07-25
"LAD",89,3,17,16,1,0.146,0.101,0.216,0.349,0.338,0.438,0.554,0.423,170,88.6,-0.5,7.4,0.1,1,0.288,0.424,0.288,0.158,0.206,0.067,0.076,0.364,2020-07-25
"STL",34,3,5,5,0,0.088,0.265,0.355,0.316,0.29,0.353,0.645,0.412,164,83.7,-0.4,2.4,0.2,0.4,0.136,0.455,0.409,0.333,0.267,0.122,0.091,0.318,2020-07-25
"CIN",37,2,7,7,1,0.108,0.108,0.226,0.28,0.29,0.405,0.516,0.398,149,89.4,-0.1,2.1,-0.3,0.3,0.296,0.37,0.333,0.222,0.247,0.081,0.037,0.333,2020-07-25
"NYY",26,1,4,4,0,0.154,0.423,0.182,0.5,0.273,0.385,0.455,0.367,140,89.2,0,1.1,-0.1,0.2,0.3,0.5,0.2,0.5,0.273,0.202,0.091,0.364,2020-07-25
"OAK",41,2,7,7,0,0.171,0.268,0.273,0.25,0.212,0.366,0.485,0.366,138,93.7,0,1.9,-0.2,0.3,0.273,0.091,0.636,0.143,0.3,0.142,0.227,0.682,2020-07-25
"MIN",43,2,10,10,0,0.116,0.209,0.162,0.333,0.297,0.372,0.459,0.358,129,88,-0.1,1.4,-0.1,0.3,0.138,0.517,0.345,0.2,0.295,0.143,0.034,0.31,2020-07-25
"HOU",39,1,8,8,0,0.103,0.128,0.171,0.31,0.286,0.359,0.457,0.353,129,87.8,-0.1,1.3,-0.3,0.2,0.2,0.4,0.4,0.083,0.326,0.087,0.033,0.333,2020-07-25
"SDP",37,0,7,7,2,0.189,0.216,0.1,0.364,0.267,0.405,0.367,0.352,124,87.6,0.4,1.5,-0.1,0.3,0.227,0.318,0.455,0,0.218,0.089,0.136,0.455,2020-07-25
"CHW",38,1,5,4,0,0.079,0.211,0.171,0.308,0.257,0.316,0.429,0.321,109,85.7,0,0.1,0.2,0.2,0.296,0.37,0.333,0.111,0.418,0.145,0.111,0.37,2020-07-25
"MIA",38,1,5,4,1,0.079,0.237,0.147,0.32,0.265,0.316,0.412,0.312,99,88.2,-0.3,-0.4,-0.3,0,0.231,0.5,0.269,0.143,0.376,0.119,0.077,0.423,2020-07-25
"TBR",42,1,4,4,0,0.19,0.214,0.182,0.174,0.152,0.333,0.333,0.307,99,86.3,0,-0.1,0.1,0.1,0.125,0.5,0.375,0.111,0.312,0.132,0.042,0.292,2020-07-25
"TOR",39,1,6,6,0,0.077,0.282,0.147,0.333,0.265,0.308,0.412,0.304,89,85.4,-0.1,-0.8,-0.5,0,0.208,0.292,0.5,0.083,0.329,0.117,0.04,0.32,2020-07-25
"BAL",34,1,2,2,0,0.029,0.235,0.194,0.227,0.194,0.265,0.387,0.283,80,86.9,0,-1,-0.3,0,0.13,0.609,0.261,0.167,0.325,0.096,0.087,0.391,2020-07-25
"CHC",30,2,3,3,0,0.033,0.233,0.25,0.158,0.179,0.233,0.429,0.28,77,91.6,0.1,-1,0.2,0,0.095,0.571,0.333,0.286,0.296,0.101,0.143,0.429,2020-07-25
"LAA",44,1,3,3,0,0.136,0.182,0.083,0.214,0.194,0.318,0.278,0.267,69,84.4,-0.1,-1.8,-0.5,-0.1,0.172,0.483,0.345,0.1,0.224,0.081,0.069,0.207,2020-07-25
"CLE",33,0,2,2,0,0.091,0.091,0.071,0.2,0.179,0.303,0.25,0.263,65,85.2,-0.1,-1.6,0.2,0,0.08,0.52,0.4,0,0.276,0.079,0,0.32,2020-07-25
"NYM",29,1,1,1,0,0,0.138,0.143,0.217,0.214,0.241,0.357,0.258,66,89.5,-0.2,-1.6,-0.2,-0.1,0.208,0.458,0.333,0.125,0.392,0.108,0.083,0.375,2020-07-25
"ARI",33,1,2,2,0,0.03,0.212,0.125,0.25,0.219,0.242,0.344,0.252,59,83.7,0.1,-2,0.1,-0.1,0.24,0.44,0.32,0.125,0.453,0.11,0.04,0.36,2020-07-25
"SEA",32,2,2,2,0,0.031,0.313,0.226,0.158,0.161,0.188,0.387,0.239,55,86.6,0,-1.9,-0.2,-0.1,0.095,0.571,0.333,0.286,0.288,0.142,0.095,0.333,2020-07-25
"PHI",34,1,2,1,0,0.088,0.235,0.097,0.182,0.161,0.235,0.258,0.224,40,83.7,0,-2.9,-0.3,-0.2,0.13,0.522,0.348,0.125,0.37,0.137,0.043,0.304,2020-07-25
"PIT",35,0,4,4,0,0,0.171,0.029,0.276,0.229,0.229,0.257,0.212,32,83.2,0,-3.2,0.5,-0.1,0.345,0.414,0.241,0,0.43,0.163,0,0.172,2020-07-25
"KCR",35,0,0,0,1,0.057,0.514,0,0.333,0.133,0.257,0.133,0.203,29,89.2,-0.2,-3.7,0,-0.2,0.25,0.333,0.417,0,0.316,0.146,0,0.5,2020-07-25
"COL",36,0,0,0,1,0.167,0.389,0.033,0.188,0.1,0.25,0.133,0.2,15,84.7,0.3,-4,-0.2,-0.3,0.25,0.188,0.563,0,0.262,0.118,0.063,0.313,2020-07-25
"TEX",31,0,1,1,0,0.097,0.194,0.143,0.136,0.107,0.194,0.25,0.198,29,92.9,-0.1,-3.1,-0.2,-0.2,0.273,0.364,0.364,0,0.309,0.129,0,0.5,2020-07-25
"SFG",65,1,2,2,0,0.015,0.262,0.048,0.239,0.19,0.2,0.238,0.191,20,82.5,-0.1,-7.1,-1.2,-0.6,0.174,0.478,0.348,0.063,0.379,0.135,0.021,0.234,2020-07-25
"WSN",18,1,1,1,0,0.056,0.278,0.188,0,0.063,0.167,0.25,0.189,20,88.5,0,-2.1,-0.2,-0.2,0.182,0.091,0.727,0.125,0.289,0.12,0.091,0.455,2020-07-25
"DET",31,1,1,1,0,0.097,0.419,0.107,0.143,0.107,0.194,0.214,0.188,19,84,0,-3.4,-0.1,-0.2,0.2,0.467,0.333,0.2,0.313,0.165,0.067,0.333,2020-07-25
"ATL",32,0,0,0,0,0.063,0.469,0.033,0.2,0.1,0.156,0.133,0.138,-16,90.1,-0.2,-5.3,0,-0.4,0.267,0.4,0.333,0,0.316,0.235,0.067,0.4,2020-07-25
"MIL",30,0,0,0,0,0,0.3,0,0.143,0.1,0.1,0.1,0.088,-43,83.8,-0.2,-6.1,0,-0.5,0.143,0.619,0.238,0,0.411,0.184,0,0.095,2020-07-25
"CHW",80,6,15,14,0,0.088,0.238,0.301,0.354,0.315,0.375,0.616,0.415,168,88.3,0,6.7,0.4,1,0.241,0.463,0.296,0.375,0.385,0.136,0.148,0.444,2020-07-26
"LAD",128,4,21,20,1,0.117,0.117,0.196,0.337,0.318,0.417,0.514,0.401,155,88.5,-0.7,8.4,0.1,1.3,0.29,0.387,0.323,0.133,0.208,0.071,0.117,0.383,2020-07-26
"BOS",86,1,15,15,0,0.081,0.233,0.143,0.446,0.338,0.407,0.481,0.386,143,91.1,-0.1,4.4,-0.3,0.6,0.333,0.404,0.263,0.067,0.327,0.124,0.035,0.439,2020-07-26
"HOU",75,3,15,15,1,0.093,0.107,0.197,0.309,0.303,0.387,0.5,0.383,147,87.6,0.1,4.5,-0.4,0.7,0.224,0.362,0.414,0.125,0.277,0.091,0.034,0.31,2020-07-26
"STL",73,4,14,14,1,0.068,0.219,0.258,0.326,0.288,0.356,0.545,0.381,143,83.1,-0.2,3.8,0.4,0.7,0.18,0.38,0.44,0.182,0.329,0.109,0.08,0.24,2020-07-26
"CIN",76,5,11,11,2,0.145,0.118,0.254,0.204,0.238,0.368,0.492,0.371,128,90.9,-0.5,2.1,-0.7,0.5,0.204,0.463,0.333,0.278,0.21,0.081,0.056,0.37,2020-07-26
"SDP",73,2,12,12,4,0.192,0.288,0.186,0.361,0.254,0.397,0.441,0.37,136,88.9,0.3,3.6,-0.2,0.6,0.211,0.263,0.526,0.1,0.221,0.085,0.184,0.421,2020-07-26
"WSN",56,4,10,9,0,0.036,0.196,0.321,0.263,0.264,0.304,0.585,0.368,131,88.4,-0.1,1.9,-0.4,0.3,0.167,0.262,0.571,0.167,0.379,0.117,0.071,0.381,2020-07-26
"PHI",72,5,9,8,0,0.167,0.181,0.25,0.167,0.2,0.333,0.45,0.34,113,88.4,-0.4,0.5,-0.7,0.2,0.111,0.444,0.444,0.25,0.284,0.125,0.085,0.426,2020-07-26
