"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.reason","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
631289,"/api/v1.1/game/631289/feed/live","R","2020","2020-09-16T21:15:00Z","2020-09-16",FALSE,2,TRUE,"Y","P","N","14-631289-2020-09-16","2020","night","Makeup of 7/31 PPD",7,FALSE,145,5,5,"Regular Season","S","N","Normal Game","Final","F","Final","F",TRUE,NA,"FALSE",0,FALSE,FALSE,15,22,23,"0.489",138,"St. Louis Cardinals","/api/v1/teams/138",6,TRUE,FALSE,15,23,26,"0.469",158,"Milwaukee Brewers","/api/v1/teams/158",32,"Miller Park","/api/v1/venues/32","/api/v1/game/631289/content",NA,NA,"2020-08-02T18:15:00Z","2020-08-02",NA,NA,NA,NA
631575,"/api/v1.1/game/631575/feed/live","R","2020","2020-09-16T22:40:00Z","2020-09-16",FALSE,1,TRUE,"N","P","N","14-631575-2020-09-16","2020","night",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",0,FALSE,FALSE,16,14,34,"0.292",134,"Pittsburgh Pirates","/api/v1/teams/134",1,TRUE,FALSE,16,25,26,"0.49",113,"Cincinnati Reds","/api/v1/teams/113",2602,"Great American Ball Park","/api/v1/venues/2602","/api/v1/game/631575/content",NA,NA,NA,NA,NA,NA,NA,NA
631315,"/api/v1.1/game/631315/feed/live","R","2020","2020-09-16T22:40:00Z","2020-09-16",FALSE,1,TRUE,"N","P","N","14-631315-2020-09-16","2020","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",4,FALSE,FALSE,16,18,32,"0.36",111,"Boston Red Sox","/api/v1/teams/111",8,TRUE,FALSE,15,25,22,"0.532",146,"Miami Marlins","/api/v1/teams/146",4169,"Marlins Park","/api/v1/venues/4169","/api/v1/game/631315/content",NA,NA,NA,NA,NA,NA,NA,NA
631119,"/api/v1.1/game/631119/feed/live","R","2020","2020-09-16T23:05:00Z","2020-09-16",FALSE,1,TRUE,"N","P","N","14-631119-2020-09-16","2020","night",NA,9,FALSE,145,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",5,TRUE,FALSE,16,22,27,"0.449",121,"New York Mets","/api/v1/teams/121",4,FALSE,FALSE,15,24,24,"0.5",143,"Philadelphia Phillies","/api/v1/teams/143",2681,"Citizens Bank Park","/api/v1/venues/2681","/api/v1/game/631119/content",NA,NA,NA,NA,NA,NA,NA,NA
631189,"/api/v1.1/game/631189/feed/live","R","2020","2020-09-16T23:05:00Z","2020-09-16",FALSE,1,TRUE,"N","P","N","14-631189-2020-09-16","2020","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",2,FALSE,FALSE,16,26,22,"0.542",141,"Toronto Blue Jays","/api/v1/teams/141",13,TRUE,FALSE,16,28,21,"0.571",147,"New York Yankees","/api/v1/teams/147",3313,"Yankee Stadium","/api/v1/venues/3313","/api/v1/game/631189/content",NA,NA,NA,NA,NA,NA,NA,NA
631463,"/api/v1.1/game/631463/feed/live","R","2020","2020-09-16T23:10:00Z","2020-09-16",FALSE,1,TRUE,"N","P","N","14-631463-2020-09-16","2020","night",NA,9,FALSE,120,2,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",4,TRUE,FALSE,17,21,29,"0.42",118,"Kansas City Royals","/api/v1/teams/118",0,FALSE,FALSE,16,21,27,"0.438",116,"Detroit Tigers","/api/v1/teams/116",2394,"Comerica Park","/api/v1/venues/2394","/api/v1/game/631463/content",NA,NA,NA,NA,NA,NA,NA,NA
631659,"/api/v1.1/game/631659/feed/live","R","2020","2020-09-16T23:35:00Z","2020-09-16",FALSE,1,TRUE,"N","P","N","14-631659-2020-09-16","2020","night",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",1,FALSE,FALSE,16,29,21,"0.58",144,"Atlanta Braves","/api/v1/teams/144",5,TRUE,FALSE,16,22,27,"0.449",110,"Baltimore Orioles","/api/v1/teams/110",2,"Oriole Park at Camden Yards","/api/v1/venues/2","/api/v1/game/631659/content",NA,NA,NA,NA,NA,NA,NA,NA
631434,"/api/v1.1/game/631434/feed/live","R","2020","2020-09-17T00:10:00Z","2020-09-16",FALSE,1,TRUE,"N","P","N","14-631434-2020-09-16","2020","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",1,TRUE,FALSE,16,18,31,"0.367",140,"Texas Rangers","/api/v1/teams/140",0,FALSE,FALSE,16,24,25,"0.49",117,"Houston Astros","/api/v1/teams/117",2392,"Minute Maid Park","/api/v1/venues/2392","/api/v1/game/631434/content",NA,NA,NA,NA,NA,NA,NA,NA
631484,"/api/v1.1/game/631484/feed/live","R","2020","2020-09-17T00:10:00Z","2020-09-16",FALSE,1,TRUE,"N","P","N","14-631484-2020-09-16","2020","night",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",5,TRUE,FALSE,16,31,20,"0.608",142,"Minnesota Twins","/api/v1/teams/142",1,FALSE,FALSE,16,32,17,"0.653",145,"Chicago White Sox","/api/v1/teams/145",4,"Guaranteed Rate Field","/api/v1/venues/4","/api/v1/game/631484/content",NA,NA,NA,NA,NA,NA,NA,NA
631619,"/api/v1.1/game/631619/feed/live","R","2020","2020-09-17T00:15:00Z","2020-09-16",FALSE,1,TRUE,"N","P","N","14-631619-2020-09-16","2020","night",NA,9,FALSE,120,2,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",2,FALSE,FALSE,16,26,23,"0.531",114,"Cleveland Indians","/api/v1/teams/114",3,TRUE,FALSE,16,30,20,"0.6",112,"Chicago Cubs","/api/v1/teams/112",17,"Wrigley Field","/api/v1/venues/17","/api/v1/game/631619/content",NA,NA,NA,NA,NA,NA,NA,NA
631361,"/api/v1.1/game/631361/feed/live","R","2020","2020-09-17T01:40:00Z","2020-09-16",FALSE,1,TRUE,"N","P","N","14-631361-2020-09-16","2020","night",NA,9,FALSE,145,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",9,TRUE,FALSE,16,19,31,"0.38",109,"Arizona Diamondbacks","/api/v1/teams/109",6,FALSE,FALSE,16,20,30,"0.4",108,"Los Angeles Angels","/api/v1/teams/108",1,"Angel Stadium","/api/v1/venues/1","/api/v1/game/631361/content",NA,NA,NA,NA,NA,NA,NA,NA
631032,"/api/v1.1/game/631032/feed/live","R","2020","2020-09-17T01:45:00Z","2020-09-16",FALSE,1,TRUE,"N","P","N","14-631032-2020-09-16","2020","night","at Oracle Park; Makeup of 9/15 PPD",9,TRUE,120,2,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",9,TRUE,FALSE,16,24,24,"0.5",137,"San Francisco Giants","/api/v1/teams/137",3,FALSE,FALSE,16,22,27,"0.449",136,"Seattle Mariners","/api/v1/teams/136",2395,"Oracle Park","/api/v1/venues/2395","/api/v1/game/631032/content",NA,NA,"2020-09-16T01:40:00Z","2020-09-15",NA,NA,NA,NA
631034,"/api/v1.1/game/631034/feed/live","R","2020","2020-09-17T01:00:00Z","2020-09-17",NA,1,TRUE,"N","P","N","14-631034-2020-09-16","2020","night","Makeup 9/17 at San Francisco",9,TRUE,120,2,2,"Regular Season","S","N","Normal Game","Final","D","Postponed","DD",FALSE,"Air Quality","FALSE",NA,NA,FALSE,16,25,24,"0.51",137,"San Francisco Giants","/api/v1/teams/137",NA,NA,FALSE,16,22,28,"0.44",136,"Seattle Mariners","/api/v1/teams/136",680,"T-Mobile Park","/api/v1/venues/680","/api/v1/game/631034/content","2020-09-17T20:10:00Z","2020-09-17",NA,NA,NA,NA,NA,NA
631313,"/api/v1.1/game/631313/feed/live","R","2020","2020-09-17T17:10:00Z","2020-09-17",FALSE,1,TRUE,"N","P","N","14-631313-2020-09-17","2020","day","Moved from 9/14",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",5,TRUE,FALSE,16,19,32,"0.373",111,"Boston Red Sox","/api/v1/teams/111",3,FALSE,FALSE,15,25,23,"0.521",146,"Miami Marlins","/api/v1/teams/146",4169,"Marlins Park","/api/v1/venues/4169","/api/v1/game/631313/content",NA,NA,NA,NA,NA,NA,NA,NA
631485,"/api/v1.1/game/631485/feed/live","R","2020","2020-09-17T18:10:00Z","2020-09-17",FALSE,1,TRUE,"N","P","N","14-631485-2020-09-17","2020","day",NA,9,FALSE,120,4,4,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",3,FALSE,FALSE,16,31,21,"0.596",142,"Minnesota Twins","/api/v1/teams/142",4,TRUE,FALSE,16,33,17,"0.66",145,"Chicago White Sox","/api/v1/teams/145",4,"Guaranteed Rate Field","/api/v1/venues/4","/api/v1/game/631485/content",NA,NA,NA,NA,NA,NA,NA,NA
631362,"/api/v1.1/game/631362/feed/live","R","2020","2020-09-17T20:10:00Z","2020-09-17",FALSE,1,TRUE,"N","P","N","14-631362-2020-09-17","2020","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",3,FALSE,FALSE,16,19,32,"0.373",109,"Arizona Diamondbacks","/api/v1/teams/109",7,TRUE,FALSE,16,21,30,"0.412",108,"Los Angeles Angels","/api/v1/teams/108",1,"Angel Stadium","/api/v1/venues/1","/api/v1/game/631362/content",NA,NA,NA,NA,NA,NA,NA,NA
631034,"/api/v1.1/game/631034/feed/live","R","2020","2020-09-17T20:10:00Z","2020-09-17",FALSE,1,TRUE,"N","P","N","14-631034-2020-09-17","2020","day","at Oracle Park; Makeup of 9/16 PPD",9,TRUE,120,2,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",6,TRUE,FALSE,16,25,24,"0.51",137,"San Francisco Giants","/api/v1/teams/137",4,FALSE,FALSE,16,22,28,"0.44",136,"Seattle Mariners","/api/v1/teams/136",2395,"Oracle Park","/api/v1/venues/2395","/api/v1/game/631034/content",NA,NA,"2020-09-17T01:00:00Z","2020-09-16",NA,NA,NA,NA
631660,"/api/v1.1/game/631660/feed/live","R","2020","2020-09-17T20:35:00Z","2020-09-17",FALSE,1,TRUE,"Y","P","N","14-631660-2020-09-17","2020","night",NA,7,FALSE,145,5,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",3,TRUE,FALSE,17,32,18,"0.64",139,"Tampa Bay Rays","/api/v1/teams/139",1,FALSE,FALSE,17,22,28,"0.44",110,"Baltimore Orioles","/api/v1/teams/110",2,"Oriole Park at Camden Yards","/api/v1/venues/2","/api/v1/game/631660/content",NA,NA,NA,NA,NA,NA,NA,NA
