game_pk,game_date,fullName,id,team,team_id,home_plate_full_name,home_plate_id
630851,2020-07-23,Gerrit Cole,543037,New York Yankees,147,Angel Hernandez,427220
630851,2020-07-23,Max Scherzer,453286,Washington Nationals,120,Angel Hernandez,427220
631377,2020-07-23,Johnny Cueto,456501,San Francisco Giants,137,Bill Miller,427344
631377,2020-07-23,Dustin May,669160,Los Angeles Dodgers,119,Bill Miller,427344
631242,2020-07-24,Mike Soroka,647336,Atlanta Braves,144,Paul Nauert,427361
631242,2020-07-24,Jacob deGrom,594798,New York Mets,121,Paul Nauert,427361
631589,2020-07-24,Matthew Boyd,571510,Detroit Tigers,116,Larry Vanover,427520
631589,2020-07-24,Sonny Gray,543243,Cincinnati Reds,113,Larry Vanover,427520
630966,2020-07-24,Hyun Jin Ryu,547943,Toronto Blue Jays,141,Joe West,427538
630966,2020-07-24,Charlie Morton,450203,Tampa Bay Rays,139,Joe West,427538
631121,2020-07-24,Sandy Alcantara,645261,Miami Marlins,146,Tim Timmons,427509
631121,2020-07-24,Aaron Nola,605400,Philadelphia Phillies,143,Tim Timmons,427509
631563,2020-07-24,Danny Duffy,518633,Kansas City Royals,118,Dan Iassogna,427248
631563,2020-07-24,Shane Bieber,669456,Cleveland Indians,114,Dan Iassogna,427248
631641,2020-07-24,Brandon Woodruff,605540,Milwaukee Brewers,158,Jeff Nelson,427362
631641,2020-07-24,Kyle Hendricks,543294,Chicago Cubs,112,Jeff Nelson,427362
631664,2020-07-24,Tommy Milone,543548,Baltimore Orioles,110,Mark Wegner,427533
631664,2020-07-24,Nathan Eovaldi,543135,Boston Red Sox,111,Mark Wegner,427533
630941,2020-07-24,German Marquez,608566,Colorado Rockies,115,Jim Reynolds,427424
630941,2020-07-24,Lance Lynn,458681,Texas Rangers,140,Jim Reynolds,427424
631514,2020-07-24,Jose Berrios,621244,Minnesota Twins,142,Bill Welke,427534
631514,2020-07-24,Lucas Giolito,608337,Chicago White Sox,145,Bill Welke,427534
630989,2020-07-24,Joe Musgrove,605397,Pittsburgh Pirates,134,Jerry Meals,427339
630989,2020-07-24,Jack Flaherty,656427,St. Louis Cardinals,138,Jerry Meals,427339
631091,2020-07-24,Madison Bumgarner,518516,Arizona Diamondbacks,109,Ted Barrett,427019
631091,2020-07-24,Chris Paddack,663978,San Diego Padres,135,Ted Barrett,427019
